Date,fdate,OIVol_AR_1,OIVol_AR_2,OIVol_AR_3,OIVol_AR_4,OIVol_AR_5,OIVol_TR_1,OIVol_TR_2,OIVol_TR_3,OIVol_TR_4,OIVol_TR_5,OIVol_AR_Sig,OIVol_TR_Sig,OIVol_AR_130,OIVol_TR_130,OIVol_TR_BP,OIVol_TR_LO,OIVol_CAR_1,OIVol_CAR_2,OIVol_CAR_3,OIVol_CAR_4,OIVol_CAR_5,OIVol_CTR_1,OIVol_CTR_2,OIVol_CTR_3,OIVol_CTR_4,OIVol_CTR_5,OIVol_CAR_LS,OIVol_CTR_LS,OIVol_CAR_SW,OIVol_CTR_SW,OIVol_CTR_BP,OIVol_CTR_LO,OIVol_CXR_LO,OIVol_CTR_13,OIVol_CADD,OIVol_CTDD
2013/04/30,2013/03/31,0.60%,0.22%,0.33%,0.49%,-0.51%,2.70%,1.74%,1.90%,1.10%,0.69%,2.29%,2.59%,2.31%,2.07%,1.68%,1.29%,112,106,99,107,106,175,170,174,154,174,-9.98%,-3.43%,442.5%,242.4%,65.33%,334.8%,189.9%,589.0%,0.00%,0.00%
2013/05/31,2013/04/30,-0.99%,1.05%,-0.13%,-1.24%,-0.39%,-0.23%,3.11%,3.22%,2.96%,2.93%,1.44%,2.21%,-0.16%,5.26%,2.46%,4.59%,111,107,99,105,105,175,176,180,159,179,-9.44%,-0.37%,450.3%,250.0%,69.40%,354.7%,196.0%,625.2%,0.00%,0.00%
2013/06/30,2013/05/31,-0.44%,0.51%,0.09%,0.39%,-1.04%,-1.67%,-0.28%,-1.10%,-1.06%,-2.18%,4.70%,6.12%,1.10%,0.95%,-1.25%,-0.88%,110,107,99,106,104,172,175,178,157,175,-9.98%,-0.88%,476.1%,271.4%,67.28%,350.7%,197.1%,632.1%,0.00%,0.00%
2013/07/31,2013/06/30,2.37%,0.16%,-1.84%,-1.27%,0.51%,5.87%,5.32%,4.76%,4.81%,7.12%,-0.92%,-0.78%,1.67%,10.96%,5.46%,11.19%,113,108,97,105,105,182,185,186,165,187,-11.66%,0.35%,470.8%,268.5%,76.41%,401.2%,214.2%,712.3%,-0.92%,-0.78%
2013/08/31,2013/07/31,-0.73%,-1.82%,-0.43%,0.93%,0.55%,-2.07%,-3.71%,-3.37%,-2.83%,-2.08%,4.01%,2.71%,3.28%,-0.16%,-2.84%,-0.98%,112,106,97,106,105,178,178,180,160,183,-10.52%,0.35%,493.7%,278.5%,71.40%,396.3%,220.0%,711.0%,0.00%,0.00%
2013/09/30,2013/08/31,0.14%,0.94%,-0.85%,-0.33%,-0.28%,2.67%,4.61%,3.41%,3.49%,4.64%,-1.27%,1.20%,0.02%,8.89%,3.76%,8.54%,112,107,96,105,105,183,186,186,166,192,-10.90%,2.32%,486.2%,283.0%,77.84%,438.6%,235.3%,783.1%,-1.27%,0.00%
2013/10/31,2013/09/30,1.16%,1.12%,0.66%,-1.38%,-0.41%,4.57%,4.42%,4.69%,3.53%,4.03%,4.91%,5.51%,-2.73%,1.75%,4.19%,0.10%,114,108,97,104,105,191,194,195,172,200,-12.30%,1.77%,515.0%,304.2%,85.29%,439.2%,221.6%,798.6%,0.00%,0.00%
2013/11/30,2013/10/31,0.54%,0.10%,-0.74%,-0.58%,-0.59%,2.55%,2.68%,2.67%,2.94%,3.42%,-1.27%,-2.54%,1.12%,5.76%,2.86%,6.52%,114,108,96,103,104,196,199,200,177,206,-13.29%,2.66%,507.2%,293.9%,90.59%,474.3%,233.4%,850.4%,-1.27%,-2.54%
2013/12/31,2013/11/30,-1.75%,0.22%,-0.14%,0.90%,-1.09%,0.71%,2.69%,2.58%,4.13%,2.10%,2.41%,1.39%,0.68%,3.84%,2.61%,3.43%,112,108,96,104,103,197,205,205,184,211,-12.72%,4.08%,521.8%,299.4%,95.56%,494.0%,236.1%,886.9%,0.00%,-1.18%
2014/01/31,2013/12/31,-1.65%,-1.72%,-0.04%,1.63%,2.79%,-4.29%,-4.40%,-3.35%,-2.69%,-1.01%,-6.47%,-6.33%,4.50%,3.11%,-3.13%,5.01%,110,106,96,106,106,189,196,198,179,209,-8.84%,7.50%,481.6%,274.1%,89.43%,523.7%,263.5%,917.6%,-6.47%,-7.44%
2014/02/28,2014/01/31,0.41%,0.11%,-1.08%,0.14%,0.81%,4.42%,4.38%,3.96%,4.67%,6.00%,-1.37%,-2.86%,0.16%,5.29%,4.67%,6.15%,111,106,95,106,106,197,204,206,187,221,-8.48%,9.20%,473.6%,263.4%,98.28%,562.1%,268.8%,971.4%,-7.75%,-10.09%
2014/03/31,2014/02/28,0.29%,0.52%,2.07%,-1.38%,-0.51%,0.98%,0.84%,2.79%,-0.17%,-1.95%,0.93%,3.28%,1.46%,-2.00%,0.51%,-2.99%,111,107,97,104,106,199,206,212,187,217,-9.21%,6.00%,478.9%,275.3%,99.29%,542.3%,255.9%,950.0%,-6.90%,-7.14%
2014/04/30,2014/03/31,0.68%,-0.63%,0.20%,-0.71%,2.06%,2.60%,-0.84%,-0.93%,-0.51%,0.26%,4.31%,4.09%,1.32%,-4.53%,-0.02%,-5.75%,112,106,97,104,108,204,204,210,186,217,-7.96%,3.52%,503.9%,290.7%,99.24%,505.4%,235.5%,902.4%,-2.88%,-3.34%
2014/05/31,2014/04/30,-1.32%,0.55%,1.56%,-0.47%,0.25%,1.67%,2.66%,2.88%,1.37%,1.89%,1.90%,2.31%,1.22%,1.55%,2.10%,0.85%,110,107,98,103,108,208,210,216,189,221,-6.52%,3.75%,515.3%,299.7%,103.4%,510.5%,231.3%,918.0%,-1.04%,-1.11%
2014/06/30,2014/05/31,1.01%,-0.31%,-1.05%,0.35%,-0.79%,1.58%,1.91%,2.14%,3.08%,3.52%,-3.02%,-8.19%,-2.03%,3.53%,2.50%,5.99%,112,107,97,104,108,211,214,220,194,229,-8.20%,5.76%,496.8%,266.9%,108.5%,547.1%,242.9%,953.9%,-4.03%,-9.21%
2014/07/31,2014/06/30,-2.32%,-1.53%,1.52%,1.29%,1.69%,-1.72%,-2.73%,-1.49%,-2.68%,-1.43%,4.82%,5.75%,3.33%,-3.56%,-1.95%,-5.28%,109,105,99,105,109,207,208,217,189,226,-4.53%,6.07%,525.5%,288.0%,104.4%,512.9%,231.5%,916.4%,0.00%,-3.99%
2014/08/31,2014/07/31,1.83%,-0.37%,-0.14%,-1.11%,-0.69%,5.32%,3.43%,4.03%,3.52%,4.49%,0.55%,-0.07%,0.69%,5.58%,4.18%,5.60%,111,105,99,104,109,219,215,226,196,236,-6.93%,5.18%,529.0%,287.8%,113.0%,547.2%,236.2%,973.1%,0.00%,-4.05%
2014/09/30,2014/08/31,-2.05%,0.21%,0.46%,0.17%,0.86%,-1.63%,-1.08%,-2.39%,-3.20%,-2.35%,4.15%,2.27%,2.10%,-4.90%,-2.09%,-5.58%,109,105,99,104,110,215,213,221,190,230,-4.22%,4.42%,555.1%,296.6%,108.5%,511.1%,224.5%,920.6%,0.00%,-1.87%
2014/10/31,2014/09/30,3.08%,2.26%,-1.13%,-1.71%,-1.19%,3.91%,2.96%,1.95%,2.56%,2.56%,8.03%,7.47%,-2.95%,6.52%,2.74%,4.28%,112,107,98,102,108,223,219,225,194,236,-8.31%,3.00%,607.7%,326.2%,114.2%,537.3%,229.5%,987.1%,0.00%,0.00%
2014/11/30,2014/10/31,3.62%,2.09%,1.47%,-0.63%,-3.86%,4.68%,3.69%,3.19%,3.26%,-0.90%,0.91%,-1.11%,-0.94%,0.23%,2.53%,0.56%,116,109,99,101,104,234,227,232,201,234,-15.17%,-2.74%,614.2%,321.5%,119.7%,540.9%,223.0%,989.6%,0.00%,-1.11%
2014/12/31,2014/11/30,-0.29%,1.08%,-0.17%,0.52%,-0.54%,-0.65%,0.83%,-0.88%,0.83%,-0.07%,4.52%,6.16%,0.96%,5.21%,-0.03%,3.36%,116,111,99,102,103,232,229,230,202,234,-15.38%,-2.18%,646.5%,347.4%,119.6%,562.4%,233.9%,1046%,0.00%,0.00%
2015/01/31,2014/12/31,0.72%,-0.27%,-1.03%,0.08%,2.06%,-1.00%,-2.98%,-4.52%,-2.38%,-1.87%,-0.23%,-1.25%,1.74%,-0.17%,-2.75%,0.20%,117,110,98,102,106,230,222,220,198,230,-14.25%,-3.02%,644.8%,341.9%,113.6%,563.7%,243.8%,1044%,-0.23%,-1.25%
2015/02/28,2015/01/31,-0.72%,0.55%,1.01%,-0.94%,-1.23%,2.75%,5.81%,7.07%,5.87%,5.49%,-4.03%,-5.93%,0.52%,6.80%,5.76%,8.58%,116,111,99,101,104,236,235,235,209,242,-14.68%,-0.37%,614.8%,315.7%,125.9%,620.7%,253.5%,1122%,-4.25%,-7.11%
2015/03/31,2015/02/28,0.25%,-0.45%,-0.05%,-0.35%,0.18%,-1.09%,-1.36%,-1.52%,-0.56%,-0.60%,3.25%,5.17%,-2.11%,3.16%,-1.06%,1.61%,116,110,99,101,105,234,232,232,208,241,-14.74%,0.12%,638.0%,337.1%,123.5%,632.3%,262.9%,1161%,-1.13%,-2.31%
2015/04/30,2015/03/31,-2.22%,0.26%,0.37%,0.41%,1.02%,-1.94%,0.10%,1.60%,0.33%,1.12%,3.55%,1.74%,5.01%,-1.38%,0.40%,-1.90%,113,111,99,101,106,229,232,235,209,244,-11.97%,3.18%,664.2%,344.7%,124.4%,618.4%,254.6%,1143%,0.00%,-0.60%
2015/05/31,2015/04/30,-1.98%,-0.33%,1.26%,-0.28%,-0.05%,0.50%,1.47%,1.86%,0.94%,1.41%,-0.47%,0.20%,-0.05%,4.42%,1.29%,4.36%,111,110,101,101,106,230,235,240,211,247,-10.27%,4.12%,660.6%,345.7%,127.3%,649.7%,265.4%,1198%,-0.47%,-0.40%
2015/06/30,2015/05/31,-1.11%,0.55%,-0.21%,-1.66%,0.70%,-2.17%,-1.10%,-1.77%,-2.89%,-0.61%,2.83%,3.80%,-0.08%,3.11%,-1.63%,1.97%,110,111,101,99,106,225,233,235,205,245,-8.64%,5.75%,682.2%,362.6%,123.6%,664.5%,278.6%,1239%,0.00%,0.00%
2015/07/31,2015/06/30,-0.09%,0.72%,2.71%,-2.05%,-0.87%,3.84%,3.20%,1.70%,-0.20%,0.63%,5.23%,6.25%,-0.23%,0.79%,1.67%,-1.09%,110,112,103,97,105,234,240,239,204,247,-9.36%,2.36%,723.1%,391.5%,127.3%,656.2%,268.2%,1249%,0.00%,0.00%
2015/08/31,2015/07/31,-0.01%,1.02%,1.80%,-0.70%,-1.56%,-6.25%,-5.07%,-5.42%,-5.73%,-7.47%,1.56%,4.28%,0.17%,-3.82%,-5.98%,-5.10%,110,113,105,97,104,219,228,226,192,229,-10.76%,1.11%,735.9%,412.5%,113.7%,617.6%,271.4%,1198%,0.00%,0.00%
2015/09/30,2015/08/31,0.77%,0.46%,1.06%,0.11%,-1.94%,-0.79%,-2.31%,-2.75%,-3.22%,-5.66%,-3.91%,-2.65%,-4.95%,-10.77%,-2.82%,-9.97%,111,113,106,97,102,218,223,220,186,216,-13.19%,-3.81%,703.2%,398.9%,107.7%,546.1%,244.9%,1058%,-3.91%,-2.65%
2015/10/31,2015/09/30,-0.47%,-0.67%,0.64%,0.22%,1.51%,6.96%,7.05%,8.55%,6.08%,9.53%,5.35%,5.15%,1.00%,7.11%,7.68%,5.57%,110,113,107,97,103,233,239,239,198,236,-11.47%,-1.34%,746.2%,424.6%,123.6%,582.0%,237.6%,1140%,0.00%,0.00%
2015/11/30,2015/10/31,1.54%,0.50%,-0.09%,-2.25%,-0.50%,0.82%,1.06%,1.09%,-1.11%,0.57%,1.29%,-18.76%,-0.50%,-0.43%,0.55%,5.20%,112,113,107,95,103,235,241,242,195,238,-13.28%,-1.58%,757.1%,326.2%,124.8%,617.4%,253.3%,1135%,0.00%,-18.76%
2015/12/31,2015/11/30,0.99%,0.58%,-2.80%,-0.11%,-0.39%,0.13%,-1.18%,-5.01%,-2.79%,-2.84%,4.32%,3.04%,1.66%,-3.78%,-2.07%,-4.69%,113,114,104,95,102,235,238,229,190,231,-14.47%,-4.50%,794.2%,339.2%,120.2%,583.8%,244.0%,1088%,0.00%,-16.29%
2016/01/31,2015/12/31,-0.95%,0.50%,-0.96%,2.55%,-1.06%,-5.70%,-4.41%,-7.62%,-3.01%,-7.96%,2.01%,3.18%,-4.45%,-15.25%,-5.64%,-16.20%,112,114,103,97,101,222,228,212,184,212,-14.56%,-6.67%,812.1%,353.1%,107.8%,473.0%,207.7%,907.2%,0.00%,-13.62%
2016/02/29,2016/01/31,0.87%,0.26%,0.64%,0.72%,-1.54%,-0.21%,-0.27%,1.24%,0.48%,-1.01%,-3.40%,-5.92%,-4.95%,-4.24%,-0.05%,-2.47%,113,115,103,98,100,221,227,215,185,210,-16.62%,-7.42%,781.1%,326.3%,107.6%,458.8%,200.3%,864.5%,-3.40%,-18.74%
2016/03/31,2016/02/29,0.93%,0.62%,0.63%,1.60%,-1.16%,7.22%,7.01%,8.30%,7.09%,6.15%,-3.47%,-7.37%,-1.55%,5.03%,7.08%,7.24%,114,115,104,99,99,237,243,232,198,223,-18.36%,-8.41%,750.6%,294.9%,122.4%,499.3%,200.7%,913.0%,-6.75%,-24.72%
2016/04/30,2016/03/31,-0.82%,0.67%,-3.32%,-0.58%,4.31%,-1.03%,1.14%,-1.86%,0.19%,5.76%,-0.11%,-2.15%,4.99%,4.82%,0.81%,5.47%,113,116,101,99,103,235,246,228,199,236,-14.17%,-2.19%,749.7%,286.4%,124.2%,532.1%,214.7%,961.9%,-6.85%,-26.34%
2016/05/31,2016/04/30,-0.39%,-0.91%,1.19%,0.54%,0.22%,1.82%,1.15%,3.26%,1.98%,1.57%,5.10%,3.98%,1.36%,3.54%,1.79%,2.35%,113,115,102,99,103,239,249,236,203,240,-13.65%,-2.42%,793.0%,301.8%,128.2%,546.9%,216.5%,999.5%,-2.10%,-23.41%
2016/06/30,2016/05/31,0.61%,-1.04%,-1.75%,2.00%,0.48%,1.01%,-0.66%,-1.70%,2.02%,-0.07%,3.12%,4.41%,-2.74%,-0.76%,0.26%,-2.08%,113,114,100,101,103,241,247,232,207,240,-13.76%,-3.48%,820.8%,319.5%,128.8%,533.4%,209.0%,991.1%,0.00%,-20.04%
2016/07/31,2016/06/30,1.65%,0.20%,-0.72%,0.23%,-1.28%,3.92%,3.87%,5.02%,3.89%,3.70%,3.30%,-2.42%,-1.23%,5.15%,3.96%,5.87%,115,114,99,101,102,251,257,243,215,248,-16.28%,-3.68%,851.2%,309.3%,137.9%,570.6%,214.9%,1047%,0.00%,-21.97%
2016/08/31,2016/07/31,0.50%,0.98%,1.56%,-0.49%,-2.13%,-0.04%,1.08%,2.50%,-0.36%,-0.74%,-0.63%,-3.35%,-0.90%,-0.06%,0.32%,0.94%,116,115,101,101,100,251,259,249,214,247,-18.48%,-4.36%,845.2%,295.6%,138.6%,577.0%,216.9%,1047%,-0.63%,-24.59%
2016/09/30,2016/08/31,0.41%,-1.77%,-1.30%,1.73%,0.23%,-0.12%,-1.48%,-0.19%,2.16%,1.09%,0.69%,-4.37%,1.45%,4.49%,0.19%,5.80%,116,113,100,103,100,250,255,249,218,249,-18.63%,-3.20%,851.7%,278.3%,139.1%,616.2%,234.7%,1098%,0.00%,-27.88%
2016/10/31,2016/09/30,-1.07%,0.46%,2.36%,1.24%,-2.19%,-1.67%,-1.18%,-1.20%,-1.47%,-5.54%,4.80%,6.02%,1.13%,-8.46%,-2.12%,-10.27%,115,114,102,104,98,246,252,246,215,236,-19.55%,-6.94%,897.3%,301.1%,134.0%,542.7%,207.4%,996.7%,0.00%,-23.54%
2016/11/30,2016/10/31,0.67%,1.06%,0.16%,0.35%,-0.61%,0.59%,6.09%,7.41%,4.82%,6.10%,0.97%,3.09%,-3.80%,8.67%,4.59%,7.74%,116,115,102,104,97,248,268,264,226,250,-20.57%,-1.82%,907.0%,313.5%,144.7%,592.5%,217.1%,1092%,0.00%,-21.18%
2016/12/31,2016/11/30,1.09%,-0.88%,-0.38%,1.16%,-0.46%,2.23%,1.16%,2.15%,2.84%,1.53%,3.31%,7.03%,-0.40%,1.56%,1.94%,-0.54%,117,114,102,106,97,253,271,270,232,254,-21.80%,-2.50%,940.3%,342.6%,149.5%,588.7%,209.2%,1110%,0.00%,-15.64%
2017/01/31,2016/12/31,-1.20%,1.00%,1.46%,0.62%,-2.02%,1.54%,2.71%,2.57%,2.78%,-0.27%,1.89%,-1.37%,1.65%,2.84%,1.89%,3.25%,116,115,103,106,95,257,278,277,238,253,-22.44%,-4.27%,959.9%,336.5%,154.2%,611.1%,213.5%,1145%,0.00%,-16.79%
2017/02/28,2017/01/31,-0.25%,-0.21%,0.95%,-0.60%,0.35%,3.57%,3.61%,4.13%,3.32%,3.68%,1.79%,0.50%,2.53%,4.75%,3.64%,4.60%,115,115,104,106,95,266,288,288,246,262,-21.97%,-4.16%,978.9%,338.7%,163.5%,643.8%,216.5%,1204%,0.00%,-16.38%
2017/03/31,2017/02/28,0.10%,-0.01%,-0.51%,0.73%,-0.96%,0.40%,-0.29%,-1.02%,1.70%,-0.40%,3.55%,0.71%,-0.33%,2.66%,0.13%,2.44%,115,115,104,106,94,267,287,285,251,261,-22.80%,-4.93%,1017%,341.8%,163.8%,662.0%,223.8%,1239%,0.00%,-15.78%
2017/04/30,2017/03/31,1.30%,-0.29%,0.45%,-0.83%,-1.49%,2.57%,0.62%,1.21%,0.75%,-0.24%,3.47%,2.14%,-3.88%,-0.91%,1.11%,-1.55%,117,114,104,105,93,274,289,289,253,261,-24.95%,-7.60%,1056%,351.3%,166.7%,650.2%,215.2%,1226%,0.00%,-13.98%
2017/05/31,2017/04/30,-0.77%,-0.29%,0.59%,0.97%,-1.14%,2.28%,0.22%,0.70%,2.58%,-1.11%,5.58%,3.46%,-1.66%,-2.89%,1.06%,-3.93%,116,114,105,106,92,280,290,291,259,258,-25.23%,-10.73%,1120%,366.9%,169.6%,620.7%,199.4%,1188%,0.00%,-11.01%
2017/06/30,2017/05/31,-0.33%,1.09%,-0.32%,-1.67%,1.84%,-0.77%,2.01%,1.17%,-0.78%,3.47%,-2.75%,-5.44%,1.28%,3.81%,0.90%,5.44%,116,115,104,105,94,278,296,294,257,267,-23.61%,-6.95%,1087%,341.4%,172.0%,659.9%,213.0%,1237%,-2.75%,-15.85%
2017/07/31,2017/06/30,-0.07%,-1.18%,0.29%,0.98%,0.33%,2.56%,0.77%,2.17%,2.71%,1.78%,2.99%,3.51%,0.28%,0.45%,1.93%,-0.60%,115,114,105,106,94,285,298,300,264,271,-23.31%,-7.68%,1122%,356.9%,177.2%,655.4%,205.1%,1243%,0.00%,-12.90%
2017/08/31,2017/07/31,-1.36%,-0.93%,0.09%,2.60%,0.54%,0.23%,-0.89%,-0.02%,2.78%,-0.07%,2.35%,4.06%,2.20%,1.83%,0.26%,0.61%,114,113,105,108,94,286,295,300,271,271,-21.85%,-7.95%,1151%,375.5%,177.9%,659.9%,206.2%,1268%,0.00%,-9.37%
2017/09/30,2017/08/31,1.22%,0.15%,-1.64%,-1.67%,0.34%,1.00%,3.50%,0.92%,2.60%,4.88%,0.26%,1.31%,0.33%,9.98%,2.47%,9.59%,115,113,103,107,95,289,306,303,278,285,-22.54%,-4.37%,1154%,381.7%,184.8%,732.8%,228.0%,1404%,0.00%,-8.18%
2017/10/31,2017/09/30,-0.01%,-0.67%,0.81%,1.70%,-2.22%,3.32%,1.72%,3.28%,2.97%,-0.54%,3.24%,4.55%,0.60%,0.96%,2.24%,-0.41%,115,112,104,108,93,298,311,313,287,283,-24.26%,-8.06%,1195%,403.6%,191.2%,729.5%,219.3%,1419%,0.00%,-4.01%
2017/11/30,2017/10/31,-0.15%,0.44%,0.47%,-1.11%,-0.31%,3.16%,3.52%,3.85%,2.25%,2.98%,1.66%,1.52%,1.09%,3.89%,3.22%,3.43%,115,113,104,107,92,308,322,325,293,291,-24.38%,-8.23%,1216%,411.3%,200.6%,757.9%,220.0%,1478%,0.00%,-2.54%
2017/12/31,2017/11/30,-0.75%,1.28%,-0.80%,-0.64%,0.16%,0.88%,2.46%,0.31%,0.37%,0.84%,-0.61%,-3.65%,1.96%,0.54%,1.10%,1.64%,114,114,104,107,93,311,330,326,294,294,-23.69%,-8.27%,1208%,392.6%,203.8%,772.0%,221.8%,1486%,-0.61%,-6.10%
2018/01/31,2017/12/31,-1.52%,0.38%,-0.64%,-0.89%,0.04%,5.45%,6.21%,4.69%,4.61%,5.37%,2.29%,3.84%,4.38%,7.57%,5.34%,6.42%,113,115,103,106,93,328,350,341,308,310,-22.50%,-8.34%,1238%,411.5%,220.1%,828.0%,225.2%,1606%,0.00%,-2.49%
2018/02/28,2018/01/31,-0.80%,-1.14%,0.25%,2.04%,0.17%,-3.83%,-4.51%,-3.46%,-1.92%,-4.03%,0.99%,1.61%,-0.35%,-3.55%,-3.65%,-4.03%,112,113,103,108,93,315,335,329,302,297,-21.75%,-8.53%,1252%,419.8%,208.4%,790.6%,224.0%,1546%,0.00%,-0.92%
2018/03/31,2018/02/28,1.87%,-0.53%,-0.16%,1.67%,-1.24%,-2.20%,-3.18%,-1.98%,0.49%,-1.99%,4.18%,4.05%,-1.83%,1.87%,-1.98%,0.66%,114,113,103,110,92,308,324,323,303,291,-24.18%,-8.34%,1308%,440.8%,202.3%,796.4%,232.5%,1577%,0.00%,0.00%
2018/04/30,2018/03/31,0.96%,-0.29%,-0.95%,0.33%,-0.20%,0.97%,0.03%,-0.31%,0.70%,0.79%,1.53%,2.51%,-1.44%,0.91%,0.43%,0.15%,115,113,102,110,91,311,324,322,305,294,-25.05%,-8.50%,1330%,454.4%,203.6%,797.8%,231.6%,1592%,0.00%,0.00%
2018/05/31,2018/04/30,-0.40%,0.70%,-0.66%,2.17%,-3.02%,1.53%,2.01%,2.64%,5.21%,2.78%,-1.48%,-1.79%,-6.13%,6.36%,2.78%,6.90%,114,113,101,112,89,316,330,330,321,302,-27.02%,-7.36%,1308%,444.5%,212.0%,859.7%,245.3%,1700%,-1.48%,-1.79%
2018/06/30,2018/05/31,1.93%,0.21%,0.51%,-1.52%,-1.25%,2.53%,-0.04%,1.00%,-0.14%,0.24%,4.59%,1.90%,-2.54%,-0.39%,0.75%,-0.96%,117,114,102,111,88,324,330,334,321,302,-29.34%,-9.49%,1373%,454.8%,214.4%,850.5%,239.4%,1692%,0.00%,0.00%
2018/07/31,2018/06/30,0.28%,-0.07%,-0.64%,-0.81%,1.12%,3.79%,3.52%,2.89%,2.14%,4.46%,4.77%,4.62%,-0.30%,1.11%,3.27%,-0.28%,117,113,101,110,89,336,342,343,328,316,-28.74%,-8.89%,1444%,480.4%,224.7%,847.9%,227.3%,1712%,0.00%,0.00%
2018/08/31,2018/07/31,0.96%,-0.74%,-0.16%,0.37%,-1.84%,4.35%,1.33%,3.79%,5.19%,3.02%,3.46%,3.49%,-0.33%,6.30%,3.55%,5.25%,118,113,101,110,87,351,347,356,345,325,-30.74%,-10.10%,1497%,500.7%,236.2%,897.6%,232.9%,1826%,0.00%,0.00%
2018/09/30,2018/08/31,-1.12%,0.07%,-0.61%,0.35%,1.26%,0.15%,-0.51%,-0.01%,0.18%,0.89%,3.51%,3.27%,2.00%,0.23%,0.10%,-0.75%,117,113,100,110,88,351,345,356,345,328,-29.09%,-9.44%,1553%,520.4%,236.6%,890.2%,230.0%,1831%,0.00%,0.00%
2018/10/31,2018/09/30,-0.49%,0.28%,0.21%,2.94%,1.40%,-6.95%,-5.88%,-6.62%,-8.39%,-8.99%,4.41%,3.40%,4.80%,-11.51%,-7.27%,-12.53%,116,113,101,114,89,327,325,333,316,299,-27.75%,-11.28%,1626%,541.4%,212.1%,766.1%,212.6%,1609%,0.00%,0.00%
2018/11/30,2018/10/31,1.52%,0.67%,-2.68%,0.48%,1.96%,3.22%,2.92%,-1.01%,2.30%,4.01%,2.83%,2.78%,-1.07%,0.61%,1.99%,-0.22%,118,114,98,114,91,337,334,329,324,311,-27.43%,-10.58%,1675%,559.3%,218.3%,764.2%,205.7%,1619%,0.00%,0.00%
2018/12/31,2018/11/30,-2.59%,-0.67%,-0.31%,1.80%,2.71%,-8.08%,-10.16%,-9.32%,-9.47%,-9.17%,5.44%,4.00%,0.46%,-15.11%,-9.28%,-16.31%,115,113,98,116,93,310,300,299,293,282,-23.58%,-11.56%,1771%,585.7%,188.8%,623.2%,184.2%,1359%,0.00%,0.00%
2019/01/31,2018/12/31,-0.39%,1.02%,0.75%,0.74%,-3.93%,6.66%,9.48%,8.56%,11.57%,7.60%,-2.38%,-4.11%,-0.54%,16.67%,8.72%,17.91%,114,114,98,117,90,331,328,324,327,304,-26.29%,-10.74%,1727%,557.5%,214.0%,752.7%,210.3%,1603%,-2.38%,-4.11%
2019/02/28,2019/01/31,-0.34%,1.00%,-0.92%,0.45%,-1.02%,2.06%,3.53%,3.27%,4.93%,3.69%,2.34%,1.80%,-1.67%,6.11%,3.43%,5.57%,114,115,97,118,89,338,340,335,343,315,-26.79%,-9.28%,1769%,569.3%,224.7%,800.2%,217.0%,1707%,-0.10%,-2.39%
2019/03/31,2019/02/28,0.18%,-0.57%,0.28%,0.18%,-1.20%,2.21%,1.48%,1.94%,0.27%,0.27%,1.61%,-1.78%,2.15%,0.23%,1.41%,0.77%,114,115,98,118,88,345,345,341,344,316,-27.80%,-11.04%,1799%,557.4%,229.3%,807.1%,214.9%,1711%,0.00%,-4.12%
2019/04/30,2019/03/31,-1.36%,0.86%,2.29%,-0.79%,-4.74%,2.22%,5.84%,6.04%,3.41%,-0.74%,-0.42%,-0.59%,-5.26%,-0.68%,4.02%,-0.50%,113,116,100,117,84,353,365,362,356,313,-30.24%,-13.67%,1791%,553.5%,242.5%,802.5%,200.7%,1699%,-0.42%,-4.69%
2019/05/31,2019/04/30,1.69%,0.92%,-0.65%,-0.54%,0.78%,-4.07%,-6.61%,-6.61%,-8.05%,-6.37%,-1.71%,-0.27%,1.86%,-9.47%,-6.47%,-9.39%,115,117,99,116,84,338,341,338,327,294,-30.87%,-15.66%,1759%,551.8%,220.4%,717.8%,191.9%,1528%,-2.12%,-4.95%
2019/06/30,2019/05/31,-0.09%,-1.31%,0.14%,0.55%,0.35%,5.56%,6.36%,7.33%,7.87%,7.62%,0.99%,-1.57%,-5.13%,4.59%,6.83%,5.06%,114,115,99,117,85,357,363,363,353,316,-30.57%,-13.92%,1777%,541.5%,242.2%,759.2%,186.8%,1603%,-1.15%,-6.44%
2019/07/31,2019/06/30,1.70%,-0.26%,1.34%,-1.23%,-1.62%,2.55%,1.67%,2.82%,-0.37%,-1.17%,3.05%,4.95%,-1.25%,-1.69%,1.45%,-3.17%,116,115,101,116,83,366,369,373,351,312,-32.87%,-17.12%,1835%,573.3%,247.2%,731.9%,173.5%,1574%,0.00%,-1.81%
2019/08/31,2019/07/31,2.41%,-0.03%,-1.93%,0.03%,0.19%,0.70%,-2.21%,-2.80%,-4.34%,-1.56%,0.81%,2.50%,0.03%,-4.40%,-2.11%,-5.15%,119,115,99,116,83,369,361,363,336,307,-34.36%,-19.00%,1850%,590.1%,239.9%,689.1%,165.2%,1501%,0.00%,0.00%
2019/09/30,2019/08/31,0.54%,0.34%,1.09%,0.60%,1.10%,2.03%,2.40%,0.71%,2.86%,0.07%,2.05%,3.16%,1.03%,0.46%,1.76%,-0.49%,120,115,100,116,84,376,369,365,346,308,-33.99%,-20.59%,1890%,611.8%,245.8%,685.2%,159.2%,1508%,0.00%,0.00%
2019/10/31,2019/09/30,-0.89%,-0.79%,1.22%,-1.48%,1.62%,0.89%,1.46%,3.75%,0.59%,4.45%,3.31%,0.31%,-2.97%,0.28%,2.20%,0.19%,119,114,101,115,86,380,375,379,348,321,-32.33%,-17.76%,1956%,614.0%,253.4%,686.7%,154.0%,1512%,0.00%,0.00%
