Date,fdate,momentum_AR_1,momentum_AR_2,momentum_AR_3,momentum_AR_4,momentum_AR_5,momentum_TR_1,momentum_TR_2,momentum_TR_3,momentum_TR_4,momentum_TR_5,momentum_AR_Sig,momentum_TR_Sig,momentum_AR_130,momentum_TR_130,momentum_TR_BP,momentum_TR_LO,momentum_CAR_1,momentum_CAR_2,momentum_CAR_3,momentum_CAR_4,momentum_CAR_5,momentum_CTR_1,momentum_CTR_2,momentum_CTR_3,momentum_CTR_4,momentum_CTR_5,momentum_CAR_LS,momentum_CTR_LS,momentum_CAR_SW,momentum_CTR_SW,momentum_CTR_BP,momentum_CTR_LO,momentum_CXR_LO,momentum_CTR_13,momentum_CADD,momentum_CTDD
2007/05/31,2007/04/30,-1.20%,-0.09%,-0.38%,-0.27%,1.89%,2.46%,3.47%,3.17%,3.38%,5.98%,0.29%,0.48%,-2.27%,2.30%,3.54%,2.16%,118,121,102,97,89,87,137,139,141,150,-29.40%,50.09%,-12.67%,37.64%,34.73%,243.5%,158.9%,288.3%,-12.67%,-2.98%
2007/06/30,2007/05/31,0.44%,-0.53%,0.19%,-0.49%,0.17%,-1.54%,-1.56%,-2.06%,-2.07%,-0.87%,-0.41%,0.60%,0.16%,-0.13%,-1.77%,-0.30%,118,120,102,97,89,85,135,136,139,148,-29.59%,51.08%,-13.03%,38.46%,32.35%,242.4%,162.7%,287.8%,-13.03%,-2.40%
2007/07/31,2007/06/30,2.48%,-1.17%,2.22%,-0.68%,0.85%,-3.93%,-3.35%,-3.01%,-4.02%,-2.80%,-2.15%,1.23%,-0.90%,-4.24%,-3.46%,-4.61%,121,119,104,96,90,82,130,132,133,144,-30.74%,52.77%,-14.90%,40.17%,27.77%,226.7%,159.7%,271.4%,-14.90%,-1.20%
2007/08/31,2007/07/31,-1.43%,0.57%,0.85%,0.12%,-1.02%,-0.38%,1.67%,1.82%,1.49%,1.25%,-0.25%,2.30%,-3.10%,0.17%,1.50%,-0.52%,120,120,105,96,89,82,133,134,135,146,-30.45%,55.27%,-15.11%,43.39%,29.69%,224.9%,154.4%,272.0%,-15.11%,0.00%
2007/09/30,2007/08/31,1.64%,0.78%,0.20%,-1.12%,-1.01%,2.13%,3.29%,2.80%,3.89%,5.39%,-1.48%,3.29%,-1.16%,5.04%,3.55%,4.06%,121,120,106,95,88,83,137,138,140,154,-32.30%,60.33%,-16.37%,48.11%,34.30%,238.1%,155.7%,290.7%,-16.37%,0.00%
2007/10/31,2007/09/30,-0.81%,1.21%,0.54%,-1.07%,-0.61%,-0.60%,0.93%,1.50%,1.55%,4.45%,-1.53%,4.10%,-2.75%,4.98%,2.05%,3.75%,121,122,106,94,87,83,138,140,142,161,-32.17%,68.43%,-17.65%,54.19%,37.05%,250.8%,160.1%,310.2%,-17.65%,0.00%
2007/11/30,2007/10/31,-3.72%,1.69%,-0.53%,1.06%,-0.86%,-11.24%,-3.81%,-5.10%,-2.74%,-5.77%,2.32%,4.25%,-0.77%,-6.17%,-4.49%,-7.45%,116,124,106,95,87,74,133,133,138,151,-30.23%,77.65%,-15.74%,60.74%,30.89%,224.7%,152.4%,284.9%,-15.74%,0.00%
2007/12/31,2007/11/30,1.25%,-1.03%,-0.61%,-0.53%,-0.59%,-3.61%,-3.42%,-2.74%,0.07%,2.09%,-2.87%,3.28%,-2.97%,1.95%,-0.68%,0.97%,117,123,105,94,86,71,129,129,139,155,-31.51%,87.77%,-18.16%,66.02%,30.00%,227.8%,156.6%,292.4%,-18.16%,0.00%
2008/01/31,2007/12/31,0.02%,-0.99%,-0.69%,1.60%,1.90%,-0.43%,-4.09%,-4.51%,-4.94%,-9.94%,5.97%,-6.94%,6.22%,-10.77%,-5.98%,-8.69%,117,121,104,96,88,71,123,124,132,139,-30.23%,69.91%,-13.27%,54.50%,22.22%,199.3%,149.6%,250.1%,-13.27%,-6.94%
2008/02/29,2008/01/31,1.88%,2.59%,-0.48%,0.30%,-2.22%,-7.28%,-3.52%,-5.05%,-1.81%,-2.17%,-6.21%,0.96%,-4.30%,-1.71%,-3.00%,-1.99%,120,125,104,96,86,66,119,117,129,136,-33.08%,78.60%,-18.66%,55.98%,18.56%,193.4%,152.1%,244.2%,-18.66%,-6.04%
2008/03/31,2008/02/29,-6.93%,-2.61%,0.49%,0.09%,1.27%,-9.67%,-3.39%,0.04%,-1.04%,1.44%,3.97%,4.00%,-0.28%,0.09%,-0.63%,-1.11%,111,121,104,96,87,59,115,117,128,138,-27.60%,98.44%,-15.43%,62.23%,17.81%,190.1%,150.9%,244.5%,-15.43%,-2.28%
2008/04/30,2008/03/31,2.46%,2.22%,-3.76%,-0.60%,2.36%,7.62%,6.85%,0.96%,4.58%,5.94%,2.72%,3.18%,1.52%,4.97%,4.79%,4.02%,114,124,100,96,89,64,123,118,134,146,-27.67%,95.10%,-13.13%,67.39%,23.46%,201.8%,149.0%,261.6%,-13.13%,0.00%
2008/05/31,2008/04/30,0.76%,-2.13%,0.64%,0.07%,-0.79%,1.27%,-0.35%,2.72%,2.39%,2.66%,-1.90%,0.62%,-2.03%,4.35%,1.98%,4.16%,115,121,101,96,88,65,122,122,137,150,-28.79%,97.82%,-14.78%,68.43%,25.90%,214.3%,154.4%,277.3%,-14.78%,0.00%
2008/06/30,2008/05/31,-4.52%,-0.24%,-1.27%,-1.07%,-0.64%,-15.56%,-10.64%,-8.85%,-6.98%,-6.54%,0.87%,5.54%,-0.71%,-4.99%,-8.40%,-6.65%,110,121,100,95,88,54,109,111,127,140,-26.03%,115.7%,-14.04%,77.76%,15.32%,193.4%,158.8%,258.5%,-14.04%,0.00%
2008/07/31,2008/06/30,-3.79%,0.79%,2.56%,-0.07%,0.03%,-3.21%,0.13%,0.61%,-0.75%,-0.97%,0.41%,1.20%,-2.81%,1.58%,-0.54%,1.22%,106,122,102,95,88,53,109,112,127,139,-23.20%,120.5%,-13.68%,79.89%,14.70%,197.0%,163.4%,264.2%,-13.68%,0.00%
2008/08/31,2008/07/31,-0.30%,-1.42%,1.57%,0.06%,-1.74%,0.88%,1.76%,3.47%,1.56%,-0.21%,0.92%,-1.77%,-2.29%,0.76%,1.65%,1.29%,105,120,104,95,86,53,111,115,128,139,-24.30%,118.1%,-12.88%,76.70%,16.60%,200.8%,162.4%,266.9%,-12.88%,-1.77%
2008/09/30,2008/08/31,-7.23%,1.48%,2.38%,2.13%,-4.25%,-21.59%,-9.16%,-7.06%,-5.56%,-11.71%,-2.11%,2.52%,-5.28%,-10.50%,-8.85%,-11.26%,98,122,106,97,83,42,101,107,121,123,-22.04%,139.7%,-14.72%,81.15%,6.28%,167.0%,156.1%,228.4%,-14.72%,0.00%
2008/10/31,2008/09/30,2.56%,-1.87%,-3.50%,-0.57%,1.26%,-23.05%,-18.16%,-19.27%,-17.24%,-14.22%,3.86%,5.63%,2.87%,-17.40%,-17.40%,-19.09%,100,120,103,96,84,32,83,87,100,105,-23.05%,160.8%,-11.43%,91.36%,-12.22%,116.0%,151.8%,171.2%,-11.43%,0.00%
2008/11/30,2008/10/31,-8.41%,-2.22%,-1.22%,0.95%,1.97%,-15.83%,-9.93%,-7.61%,-6.35%,-8.79%,12.20%,7.73%,5.74%,-9.32%,-7.97%,-11.63%,92,117,101,97,85,27,75,80,94,96,-15.06%,179.2%,-0.62%,106.1%,-19.21%,90.87%,142.6%,146.0%,-0.62%,0.00%
2008/12/31,2008/11/30,-2.93%,0.79%,-0.99%,0.64%,1.11%,3.06%,3.91%,1.69%,1.16%,2.26%,8.78%,4.29%,3.66%,5.90%,2.00%,4.61%,89,118,100,98,86,28,77,81,95,98,-11.63%,177.0%,8.10%,115.0%,-17.59%,99.67%,148.9%,160.5%,0.00%,0.00%
2009/01/31,2008/12/31,-4.48%,-1.07%,0.82%,0.89%,-1.54%,-7.01%,-11.16%,-6.99%,-8.10%,-8.20%,-2.65%,-10.25%,3.79%,-10.77%,-8.28%,-7.69%,85,117,101,99,85,26,69,76,87,90,-9.02%,173.7%,5.24%,92.95%,-24.42%,84.31%,150.4%,132.4%,-2.65%,-10.25%
2009/02/28,2009/01/31,-8.79%,-4.17%,0.89%,0.26%,-1.89%,-16.00%,-14.63%,-9.36%,-9.13%,-9.85%,10.09%,3.57%,3.41%,-10.04%,-10.22%,-11.11%,78,112,102,99,83,22,59,69,79,81,-2.74%,190.5%,15.86%,99.84%,-32.14%,63.84%,148.1%,109.1%,0.00%,-7.04%
2009/03/31,2009/02/28,8.62%,0.46%,0.73%,0.64%,0.27%,21.21%,11.40%,9.99%,8.55%,6.63%,-6.71%,-11.09%,-3.41%,5.14%,8.87%,8.47%,84,113,103,100,83,26,65,75,86,87,-10.86%,148.1%,8.09%,77.69%,-26.13%,77.71%,147.2%,119.9%,-6.71%,-17.35%
2009/04/30,2009/03/31,9.33%,4.76%,-1.51%,-1.55%,1.40%,37.91%,22.15%,12.76%,8.04%,4.23%,-9.62%,-22.57%,-7.15%,4.47%,10.45%,11.24%,92,118,101,98,85,36,80,85,93,90,-17.93%,64.57%,-2.31%,37.59%,-18.40%,97.69%,149.1%,129.7%,-15.68%,-36.00%
2009/05/31,2009/04/30,4.45%,-1.09%,-0.08%,0.33%,-1.75%,17.77%,5.61%,5.27%,4.37%,3.30%,-2.69%,-7.59%,0.68%,5.54%,5.16%,7.82%,96,117,101,98,83,43,84,90,97,93,-23.02%,40.76%,-4.93%,27.14%,-14.20%,113.1%,155.7%,142.4%,-17.95%,-40.86%
2009/06/30,2009/05/31,7.01%,1.59%,0.91%,-1.20%,-2.70%,2.23%,0.42%,1.24%,-0.48%,-0.22%,-2.12%,-2.24%,1.25%,2.62%,0.39%,3.30%,103,118,102,97,81,44,85,91,97,93,-30.50%,37.31%,-6.95%,24.29%,-13.86%,120.2%,163.2%,148.8%,-19.69%,-42.19%
2009/07/31,2009/06/30,-1.51%,0.27%,-0.27%,-0.06%,-0.73%,5.66%,7.64%,7.94%,7.94%,10.38%,2.06%,1.05%,-0.90%,9.89%,7.78%,9.57%,101,119,102,97,80,46,91,98,104,103,-29.96%,43.79%,-5.04%,25.59%,-7.16%,141.2%,167.9%,173.4%,-18.04%,-41.58%
2009/08/31,2009/07/31,-1.04%,-0.87%,-1.36%,1.39%,0.35%,3.69%,2.99%,4.02%,3.81%,2.54%,-0.09%,-6.03%,3.99%,4.38%,3.49%,6.19%,100,118,100,98,81,48,94,102,108,105,-28.98%,42.13%,-5.12%,18.01%,-3.92%,156.2%,175.1%,185.4%,-18.11%,-45.10%
2009/09/30,2009/08/31,-0.74%,0.44%,-0.08%,-0.28%,-3.10%,3.20%,4.53%,3.79%,4.54%,4.36%,-5.01%,-2.08%,-4.54%,6.85%,4.15%,7.47%,100,118,100,98,78,49,98,106,113,110,-30.66%,43.78%,-9.88%,15.56%,0.06%,175.3%,184.3%,204.9%,-22.21%,-46.25%
2009/10/31,2009/09/30,-0.20%,-0.23%,1.44%,1.13%,0.12%,-1.60%,-2.14%,-1.15%,-3.24%,-8.39%,1.11%,-3.75%,-1.41%,-11.81%,-2.59%,-10.69%,99,118,102,99,78,49,96,104,110,101,-30.44%,34.02%,-8.87%,11.22%,-2.53%,145.9%,161.3%,168.9%,-21.35%,-48.27%
2009/11/30,2009/10/31,1.22%,-0.47%,-0.36%,-0.17%,1.29%,6.58%,5.25%,4.85%,5.51%,7.12%,2.31%,3.34%,-1.36%,4.97%,5.59%,3.97%,101,117,101,99,79,52,101,110,116,108,-30.39%,34.74%,-6.77%,14.94%,2.92%,155.7%,157.0%,182.3%,-19.53%,-46.54%
2009/12/31,2009/11/30,0.17%,-0.22%,-0.05%,0.03%,2.09%,5.28%,1.64%,3.00%,3.94%,1.65%,1.68%,-0.39%,2.67%,7.20%,2.80%,7.31%,101,117,101,99,81,55,103,113,120,110,-29.06%,29.86%,-5.20%,14.49%,5.80%,174.4%,168.6%,202.6%,-18.18%,-46.74%
2010/01/31,2009/12/31,-0.32%,-1.04%,0.33%,-0.34%,-1.20%,-4.18%,-4.24%,-3.05%,-3.27%,-2.69%,-1.75%,-1.86%,-0.05%,-1.88%,-3.38%,-1.32%,101,116,102,99,80,52,99,109,116,107,-29.68%,31.79%,-6.86%,12.36%,2.23%,170.7%,174.1%,196.9%,-19.61%,-47.74%
2010/02/28,2010/01/31,-0.14%,-0.11%,0.53%,-0.89%,1.35%,3.38%,3.07%,3.88%,2.46%,5.40%,0.81%,3.07%,1.21%,6.64%,3.44%,5.72%,100,116,102,98,81,54,102,114,119,112,-28.64%,34.46%,-6.10%,15.81%,5.74%,186.2%,180.4%,216.6%,-18.96%,-46.13%
2010/03/31,2010/02/28,1.25%,-0.53%,-0.20%,-0.22%,2.90%,8.71%,5.95%,6.05%,5.59%,9.18%,-0.28%,-0.26%,1.09%,8.56%,6.36%,8.63%,102,115,102,98,83,59,108,120,126,123,-27.46%,35.09%,-6.37%,15.51%,12.47%,210.9%,186.7%,243.7%,-19.19%,-46.27%
2010/04/30,2010/03/31,1.17%,0.80%,-0.69%,-0.08%,0.24%,4.06%,2.17%,1.26%,2.05%,3.48%,-3.47%,-4.24%,2.58%,7.06%,2.11%,8.33%,103,116,101,98,84,61,110,122,128,127,-28.14%,34.30%,-9.62%,10.61%,14.85%,236.8%,204.6%,267.9%,-21.99%,-48.55%
2010/05/31,2010/04/30,2.89%,1.28%,-0.46%,0.14%,1.09%,-8.67%,-7.02%,-7.83%,-8.09%,-7.99%,3.14%,2.91%,1.77%,-7.28%,-7.82%,-8.15%,106,118,101,98,84,56,102,112,118,117,-29.43%,35.22%,-6.78%,13.83%,5.86%,209.4%,203.6%,241.1%,-19.54%,-47.05%
2010/06/30,2010/05/31,-1.87%,-0.63%,0.71%,1.55%,-0.45%,-6.30%,-5.97%,-4.97%,-4.61%,-8.62%,3.90%,-0.49%,0.91%,-9.87%,-5.53%,-9.72%,104,117,102,99,84,52,96,107,113,107,-28.43%,32.09%,-3.15%,13.27%,0.01%,179.3%,190.9%,207.5%,-16.41%,-47.31%
2010/07/31,2010/06/30,1.34%,0.37%,0.32%,-1.01%,-0.40%,9.56%,6.61%,6.51%,6.58%,7.52%,-0.43%,-1.06%,-2.06%,5.23%,7.01%,5.54%,105,117,102,98,84,57,102,114,120,115,-29.68%,29.40%,-3.57%,12.07%,7.02%,194.8%,186.6%,223.5%,-16.77%,-47.87%
2010/08/31,2010/07/31,-0.08%,-0.12%,0.05%,0.95%,2.50%,-5.51%,-4.27%,-5.06%,-4.69%,-3.87%,1.23%,0.27%,1.00%,-7.21%,-4.66%,-7.29%,105,117,102,99,86,54,98,108,114,110,-27.86%,31.53%,-2.39%,12.37%,2.02%,173.3%,179.1%,200.2%,-15.75%,-47.73%
2010/09/30,2010/08/31,0.55%,-0.01%,1.39%,-0.79%,-3.14%,14.21%,9.06%,8.67%,8.47%,12.43%,0.34%,-1.12%,-3.00%,10.20%,9.41%,10.54%,106,117,103,98,83,62,107,117,124,124,-30.53%,29.19%,-2.06%,11.11%,11.62%,202.1%,182.2%,230.9%,-15.46%,-48.32%
2010/10/31,2010/09/30,-2.09%,1.73%,0.23%,-0.43%,-1.30%,1.43%,5.06%,3.18%,3.53%,4.50%,0.41%,-0.14%,0.30%,4.67%,3.89%,4.71%,104,119,104,98,82,63,112,121,128,130,-29.98%,33.16%,-1.66%,10.96%,15.96%,216.3%,184.6%,246.3%,-15.12%,-48.39%
2010/11/30,2010/10/31,-4.63%,0.26%,0.08%,0.19%,1.16%,-2.11%,0.28%,0.05%,0.47%,3.39%,3.61%,4.41%,0.92%,5.15%,0.54%,3.82%,99,119,104,98,83,61,113,121,129,134,-25.92%,40.47%,1.89%,15.85%,16.58%,228.4%,193.9%,264.1%,-12.06%,-46.11%
2010/12/31,2010/11/30,-0.50%,0.37%,-0.41%,-0.85%,-3.06%,10.35%,9.25%,6.71%,5.74%,4.66%,-2.70%,-5.55%,-1.73%,4.97%,6.70%,6.63%,98,120,103,97,80,68,123,129,137,140,-27.82%,32.47%,-0.86%,9.42%,24.40%,250.2%,193.7%,282.2%,-14.43%,-49.10%
2011/01/31,2010/12/31,2.22%,0.74%,0.52%,-1.30%,0.32%,4.36%,2.90%,2.52%,0.80%,1.72%,-1.69%,-3.62%,0.76%,0.10%,2.06%,1.19%,100,121,104,96,81,71,127,133,138,143,-29.20%,28.98%,-2.53%,5.46%,26.96%,254.4%,191.2%,282.6%,-15.88%,-50.94%
2011/02/28,2011/01/31,-4.01%,0.57%,-0.85%,1.29%,0.04%,0.27%,4.08%,2.49%,4.64%,4.05%,2.26%,3.97%,1.56%,8.27%,3.59%,7.08%,96,122,103,97,81,71,132,136,144,148,-26.33%,33.86%,-0.33%,9.65%,31.52%,279.5%,201.3%,314.3%,-13.97%,-48.99%
2011/03/31,2011/02/28,-1.88%,0.51%,-0.05%,1.16%,-0.04%,-0.83%,-0.33%,0.55%,0.91%,1.57%,2.35%,2.55%,0.89%,3.05%,0.49%,2.28%,95,122,103,98,81,70,131,137,145,151,-24.98%,37.07%,2.01%,12.44%,32.16%,288.1%,206.7%,326.9%,-11.95%,-47.70%
2011/04/30,2011/03/31,-3.58%,1.05%,-0.02%,1.04%,-1.52%,1.04%,3.84%,2.89%,3.33%,1.18%,0.94%,0.89%,-1.52%,1.45%,2.97%,1.18%,91,123,103,100,79,71,136,141,150,153,-23.43%,37.26%,2.98%,13.44%,36.08%,292.7%,201.3%,333.1%,-11.12%,-47.23%
2011/05/31,2011/04/30,-1.79%,0.06%,0.37%,0.53%,0.43%,-3.17%,-1.14%,-0.78%,-1.37%,-1.08%,1.46%,0.93%,-0.47%,-2.39%,-1.22%,-2.67%,90,123,103,100,80,69,135,140,148,151,-21.74%,40.13%,4.48%,14.49%,34.42%,282.2%,196.9%,322.7%,-9.83%,-46.74%
2011/06/30,2011/05/31,-0.09%,-0.41%,0.66%,0.32%,1.64%,-2.62%,-2.15%,-1.34%,-1.76%,-0.81%,2.78%,3.02%,0.75%,-1.24%,-1.74%,-2.15%,89,123,104,100,81,67,132,138,145,150,-20.38%,42.66%,7.38%,17.94%,32.08%,274.0%,195.7%,317.5%,-7.32%,-45.14%
2011/07/31,2011/06/30,2.96%,1.65%,-1.15%,-0.04%,0.33%,-0.05%,-0.74%,-3.30%,-2.74%,-2.88%,-0.39%,-0.84%,0.89%,-2.59%,-2.26%,-2.34%,92,125,103,100,81,67,131,133,141,145,-22.48%,38.62%,6.97%,16.95%,29.09%,265.3%,195.5%,306.6%,-7.68%,-45.60%
2011/08/31,2011/07/31,-3.58%,0.47%,0.79%,0.58%,1.68%,-10.79%,-5.53%,-4.64%,-6.03%,-6.12%,3.23%,3.12%,0.11%,-8.34%,-5.89%,-9.27%,89,126,103,101,83,60,124,127,133,136,-18.40%,45.09%,10.42%,20.60%,21.49%,231.4%,185.5%,272.7%,-4.69%,-43.90%
2011/09/30,2011/08/31,-3.02%,-1.24%,0.02%,0.33%,1.30%,-12.66%,-8.19%,-7.26%,-6.43%,-7.80%,2.10%,1.50%,-0.36%,-10.85%,-7.63%,-11.29%,86,124,104,101,84,52,114,118,124,126,-14.87%,52.14%,12.74%,22.40%,12.22%,194.0%,175.0%,232.3%,-2.69%,-43.06%
2011/10/31,2011/09/30,3.44%,1.12%,2.02%,-0.85%,-2.90%,16.74%,13.78%,12.87%,9.89%,8.64%,1.69%,1.54%,-1.70%,13.15%,11.39%,12.69%,89,125,106,100,81,61,129,133,137,137,-20.27%,39.82%,14.65%,24.29%,25.00%,231.3%,178.6%,276.0%,-1.05%,-42.19%
2011/11/30,2011/10/31,-4.11%,0.34%,1.78%,0.66%,0.15%,-6.08%,-0.72%,0.60%,0.32%,-0.40%,4.55%,4.89%,1.95%,0.69%,-0.35%,-0.78%,85,126,107,101,82,57,128,134,137,136,-16.87%,47.76%,19.86%,30.37%,24.56%,228.7%,177.4%,278.6%,0.00%,-39.36%
2011/12/31,2011/11/30,-3.68%,-0.37%,0.82%,0.20%,1.03%,-1.09%,0.06%,1.35%,0.82%,1.12%,2.27%,1.06%,1.18%,0.43%,0.85%,0.11%,82,125,108,101,82,57,128,135,138,138,-12.96%,51.03%,22.59%,31.75%,25.62%,229.1%,175.3%,280.2%,0.00%,-38.71%
2012/01/31,2011/12/31,5.52%,-0.01%,-1.71%,-1.32%,-1.24%,14.17%,8.01%,4.75%,3.22%,4.67%,-7.75%,-10.02%,-4.81%,2.81%,5.09%,5.81%,87,125,107,100,81,65,139,142,143,144,-18.84%,36.68%,13.08%,18.55%,32.02%,248.2%,177.3%,290.9%,-7.75%,-44.85%
2012/02/29,2012/01/31,1.12%,-1.08%,-0.21%,-1.12%,1.65%,7.69%,3.74%,3.97%,3.33%,5.44%,-1.22%,-1.29%,-0.28%,3.10%,4.25%,3.48%,88,124,106,99,83,70,144,148,147,152,-18.40%,33.60%,11.71%,17.02%,37.63%,260.3%,175.2%,303.0%,-8.87%,-45.57%
2012/03/31,2012/02/29,-2.07%,0.73%,-0.19%,-0.25%,1.31%,2.37%,3.80%,2.70%,2.65%,4.05%,1.52%,1.06%,1.47%,4.02%,3.15%,3.71%,86,125,106,99,84,71,149,152,151,158,-15.64%,35.84%,13.40%,18.26%,41.95%,273.7%,176.7%,319.2%,-7.49%,-44.99%
2012/04/30,2012/03/31,1.15%,0.38%,-0.28%,1.23%,0.96%,-0.56%,-1.36%,-1.29%,0.02%,-0.74%,1.33%,0.31%,1.64%,-1.18%,-0.69%,-1.27%,87,125,106,100,85,71,147,150,151,157,-15.80%,35.60%,14.91%,18.62%,40.97%,268.9%,175.1%,314.3%,-6.26%,-44.82%
2012/05/31,2012/04/30,-2.02%,-0.11%,1.10%,0.11%,1.32%,-9.85%,-5.80%,-4.64%,-7.11%,-5.76%,0.13%,1.22%,0.84%,-7.41%,-6.09%,-7.77%,85,125,107,100,86,64,139,143,141,148,-12.99%,41.14%,15.07%,20.06%,32.39%,240.3%,170.5%,283.6%,-6.13%,-44.15%
2012/06/30,2012/05/31,-0.04%,0.21%,0.56%,0.32%,-1.63%,4.23%,3.97%,4.45%,3.98%,2.82%,1.33%,1.94%,-0.45%,5.20%,3.98%,4.62%,85,126,108,100,84,67,144,149,146,152,-14.38%,39.14%,16.60%,22.39%,37.67%,256.0%,172.2%,303.5%,-4.88%,-43.07%
2012/07/31,2012/06/30,0.10%,0.23%,0.61%,-0.25%,0.89%,-0.24%,0.59%,1.48%,0.74%,0.90%,-0.00%,-0.05%,0.49%,-1.06%,0.87%,-1.05%,85,126,108,100,85,66,145,151,147,153,-13.70%,40.72%,16.60%,22.33%,38.87%,252.2%,167.0%,299.2%,-4.89%,-43.10%
2012/08/31,2012/07/31,1.87%,0.66%,-1.64%,-0.63%,2.64%,4.50%,3.54%,0.76%,1.61%,6.08%,0.43%,0.49%,-0.60%,3.40%,2.50%,3.25%,87,127,106,99,87,69,150,152,150,163,-13.04%,42.94%,17.10%,22.92%,42.34%,263.7%,169.0%,312.8%,-4.48%,-42.82%
2012/09/30,2012/08/31,-0.04%,0.62%,0.24%,-0.52%,-0.99%,3.16%,4.05%,2.77%,1.67%,2.03%,-0.94%,-2.47%,-0.78%,2.68%,2.56%,3.43%,87,127,107,99,86,72,156,157,152,166,-13.87%,41.33%,16.00%,19.89%,45.99%,276.1%,171.3%,323.9%,-5.38%,-44.23%
2012/10/31,2012/09/30,-0.31%,2.69%,-0.04%,-0.13%,-1.71%,-2.93%,0.91%,-1.60%,-2.00%,-3.70%,1.04%,1.29%,-0.68%,-0.77%,-1.70%,-1.16%,87,131,107,99,85,70,158,154,149,160,-15.07%,40.24%,17.21%,21.43%,43.50%,271.8%,172.8%,320.6%,-4.39%,-43.51%
2012/11/30,2012/10/31,0.12%,-1.13%,0.18%,-0.33%,1.14%,0.94%,-0.49%,0.99%,0.47%,2.25%,0.98%,0.09%,0.38%,1.09%,0.66%,1.06%,87,129,107,98,86,70,157,156,150,163,-14.20%,42.08%,18.35%,21.54%,44.45%,275.7%,173.9%,325.2%,-3.45%,-43.46%
2012/12/31,2012/11/30,3.09%,1.15%,0.75%,-0.61%,-2.17%,3.62%,1.94%,1.50%,0.68%,0.31%,-2.13%,-0.60%,-3.51%,2.32%,1.26%,2.50%,89,131,108,98,84,73,160,158,151,164,-18.71%,37.38%,15.83%,20.80%,46.27%,285.1%,177.3%,335.1%,-5.51%,-43.81%
2013/01/31,2012/12/31,1.23%,0.93%,-1.55%,0.66%,-1.41%,6.69%,5.57%,3.75%,6.38%,6.37%,-2.00%,-1.34%,-0.54%,7.04%,5.53%,7.45%,90,132,106,98,83,78,169,164,160,174,-20.87%,36.94%,13.51%,19.18%,54.35%,313.8%,182.6%,365.7%,-7.40%,-44.56%
2013/02/28,2013/01/31,1.28%,-0.44%,-0.11%,-0.04%,0.40%,2.42%,0.84%,1.09%,1.34%,1.56%,1.26%,1.00%,0.67%,1.54%,1.30%,1.24%,92,131,106,98,83,80,171,166,163,177,-21.56%,35.76%,14.95%,20.38%,56.35%,318.9%,182.4%,372.9%,-6.23%,-44.00%
2013/03/31,2013/02/28,-0.84%,0.98%,-0.54%,-0.16%,-0.08%,3.38%,4.76%,3.30%,4.28%,4.02%,3.87%,2.78%,3.14%,7.31%,4.00%,6.48%,91,133,105,98,83,82,179,171,170,184,-20.97%,36.63%,19.40%,23.73%,62.60%,346.0%,189.4%,407.4%,-2.60%,-42.45%
2013/04/30,2013/03/31,3.09%,1.00%,0.14%,-0.74%,-0.80%,3.64%,2.19%,1.82%,1.27%,0.08%,0.14%,1.25%,-0.02%,1.02%,1.68%,0.65%,94,134,105,97,82,85,183,174,172,184,-24.04%,31.76%,19.56%,25.28%,65.33%,348.9%,186.5%,412.6%,-2.47%,-41.73%
2013/05/31,2013/04/30,1.67%,-0.36%,-0.75%,-0.22%,-0.49%,3.48%,2.14%,1.09%,2.74%,4.97%,-3.24%,-1.67%,-2.71%,4.22%,2.46%,4.73%,95,134,105,97,82,88,186,176,176,194,-25.68%,33.72%,15.68%,23.18%,69.40%,370.1%,192.9%,434.3%,-5.63%,-42.70%
2013/06/30,2013/05/31,-3.07%,0.29%,0.28%,0.59%,-1.26%,-4.14%,-1.09%,-0.83%,-0.78%,-1.83%,1.56%,1.79%,1.28%,0.59%,-1.25%,0.05%,92,134,105,98,81,85,184,175,175,190,-24.33%,36.82%,17.49%,25.39%,67.28%,370.4%,196.8%,437.4%,-4.16%,-41.67%
2013/07/31,2013/06/30,2.33%,-0.62%,-0.51%,-0.50%,-0.38%,8.17%,4.22%,4.71%,5.74%,6.21%,0.12%,0.03%,0.18%,8.18%,5.46%,8.17%,94,133,104,97,81,91,192,183,185,202,-26.38%,34.13%,17.62%,25.43%,76.41%,408.8%,204.8%,481.4%,-4.05%,-41.66%
2013/08/31,2013/07/31,1.76%,-1.20%,-0.71%,-0.16%,1.56%,0.63%,-3.65%,-3.64%,-3.11%,-1.53%,2.01%,0.50%,2.82%,-1.85%,-2.84%,-2.00%,96,132,104,97,82,92,185,176,179,199,-26.53%,31.24%,19.99%,26.05%,71.40%,398.7%,207.4%,470.6%,-2.12%,-41.36%
2013/09/30,2013/08/31,-0.45%,-0.95%,0.30%,-0.27%,1.12%,4.16%,3.44%,3.53%,3.27%,6.01%,1.19%,0.12%,1.52%,6.51%,3.76%,6.47%,96,130,104,97,83,96,192,182,185,211,-25.38%,33.67%,21.42%,26.20%,77.84%,430.9%,215.7%,507.8%,-0.95%,-41.30%
2013/10/31,2013/09/30,-1.63%,1.50%,-0.41%,0.07%,-0.31%,2.29%,5.57%,3.87%,4.43%,3.07%,-0.79%,-0.73%,-2.71%,1.09%,4.19%,1.31%,94,132,104,97,83,98,202,189,194,217,-24.39%,34.70%,20.45%,25.28%,85.29%,437.9%,206.6%,514.4%,-1.74%,-41.73%
