Date,fdate,chs_AR_1,chs_AR_2,chs_AR_3,chs_AR_4,chs_AR_5,chs_TR_1,chs_TR_2,chs_TR_3,chs_TR_4,chs_TR_5,chs_AR_Sig,chs_TR_Sig,chs_AR_130,chs_TR_130,chs_TR_BP,chs_TR_LO,chs_CAR_1,chs_CAR_2,chs_CAR_3,chs_CAR_4,chs_CAR_5,chs_CTR_1,chs_CTR_2,chs_CTR_3,chs_CTR_4,chs_CTR_5,chs_CAR_LS,chs_CTR_LS,chs_CAR_SW,chs_CTR_SW,chs_CTR_BP,chs_CTR_LO,chs_CXR_LO,chs_CTR_13,chs_CADD,chs_CTDD
2003/12/31,2003/11/30,-3.58%,1.61%,-0.10%,0.35%,-2.62%,3.29%,6.58%,4.52%,4.76%,2.46%,0.63%,-2.59%,-1.00%,1.73%,4.39%,2.50%,85,98,108,114,106,45,81,95,101,93,18.84%,66.32%,-44.06%,-22.50%,-10.30%,66.94%,86.68%,62.90%,-44.06%,-51.40%
2004/01/31,2003/12/31,3.18%,1.45%,-0.83%,-1.16%,0.25%,6.89%,3.75%,1.78%,1.46%,1.86%,-10.14%,-11.46%,-1.26%,2.21%,2.25%,5.65%,88,99,107,112,106,49,84,97,102,94,15.36%,57.96%,-49.73%,-31.38%,-8.28%,76.37%,93.03%,66.49%,-49.73%,-56.97%
2004/02/29,2004/01/31,-1.12%,0.61%,0.70%,0.05%,-1.24%,0.66%,2.22%,2.31%,1.53%,0.13%,3.24%,2.17%,1.30%,1.57%,1.48%,0.92%,87,100,108,112,105,49,86,99,104,94,15.22%,57.12%,-48.10%,-29.89%,-6.92%,77.99%,91.94%,69.11%,-48.10%,-56.03%
2004/03/31,2004/02/29,-0.45%,-0.07%,0.37%,0.03%,-0.48%,-1.26%,-0.87%,-0.47%,-1.33%,-1.35%,2.30%,1.22%,0.92%,1.10%,-1.09%,0.73%,87,100,108,112,104,48,85,99,102,93,15.19%,56.98%,-46.91%,-29.03%,-7.94%,79.29%,95.44%,70.96%,-46.91%,-55.50%
2004/04/30,2004/03/31,-1.73%,-0.16%,-0.88%,-0.82%,0.50%,-3.00%,-1.99%,-2.74%,-2.18%,-0.84%,2.39%,0.80%,0.86%,-2.96%,-2.03%,-3.21%,85,100,107,111,105,47,84,96,100,92,17.76%,60.38%,-45.64%,-28.46%,-9.81%,73.54%,93.15%,65.89%,-45.64%,-55.14%
2004/05/31,2004/04/30,0.91%,0.75%,0.58%,-0.26%,0.32%,1.04%,1.60%,1.69%,1.03%,1.34%,2.47%,3.19%,0.79%,1.59%,1.34%,0.63%,86,100,108,111,105,47,85,97,101,94,17.06%,60.87%,-44.30%,-26.18%,-8.61%,74.64%,91.79%,68.53%,-44.30%,-53.71%
2004/06/30,2004/05/31,0.29%,-1.05%,-0.41%,0.29%,0.72%,2.63%,1.32%,1.48%,2.16%,2.55%,3.17%,3.50%,0.76%,4.88%,1.96%,3.83%,86,99,107,111,106,49,86,99,103,96,17.56%,60.74%,-42.53%,-23.59%,-6.81%,81.33%,95.37%,76.76%,-42.53%,-52.09%
2004/07/31,2004/06/30,-4.93%,0.45%,1.78%,-1.24%,0.08%,-6.78%,-3.12%,-1.89%,-4.55%,-4.76%,5.12%,3.88%,0.81%,-5.33%,-3.87%,-6.49%,82,100,109,110,106,45,84,97,99,91,23.46%,63.99%,-39.59%,-20.63%,-10.42%,69.56%,90.25%,67.35%,-39.59%,-50.23%
2004/08/31,2004/07/31,-0.94%,0.66%,0.93%,-0.32%,-0.08%,-0.42%,0.89%,1.36%,-0.19%,-0.28%,2.39%,2.18%,0.31%,-0.74%,0.29%,-1.39%,81,100,110,110,106,45,84,98,98,91,24.51%,64.22%,-38.14%,-18.90%,-10.15%,67.21%,87.05%,66.11%,-38.14%,-49.14%
2004/09/30,2004/08/31,-0.44%,-1.22%,-0.21%,0.65%,-0.15%,0.79%,0.29%,1.91%,2.25%,1.44%,0.71%,1.98%,0.98%,5.67%,1.66%,5.08%,81,99,110,110,106,45,85,100,101,92,24.88%,65.29%,-37.70%,-17.30%,-8.67%,75.70%,93.45%,75.54%,-37.70%,-48.14%
2004/10/31,2004/09/30,-1.09%,-1.18%,0.60%,0.81%,-0.49%,0.77%,0.19%,2.05%,2.34%,1.09%,1.84%,1.26%,0.66%,2.31%,1.55%,1.93%,80,98,111,111,105,46,85,102,103,93,25.62%,65.81%,-36.56%,-16.25%,-7.25%,79.10%,94.19%,79.60%,-36.56%,-47.48%
2004/11/30,2004/10/31,0.89%,0.79%,-0.49%,-0.49%,0.22%,4.37%,6.01%,3.79%,4.70%,4.82%,-5.29%,-6.79%,-2.74%,5.37%,4.65%,7.40%,81,99,110,111,106,48,90,106,108,98,24.79%,66.56%,-39.91%,-21.94%,-2.94%,92.36%,99.54%,89.24%,-39.91%,-51.05%
2004/12/31,2004/11/30,2.23%,0.36%,0.34%,-0.40%,-0.53%,6.09%,3.87%,3.58%,3.06%,3.57%,-5.62%,-7.57%,-0.95%,2.71%,3.62%,4.98%,83,99,110,110,105,51,93,110,111,101,21.34%,62.35%,-43.29%,-27.85%,0.58%,101.9%,102.3%,94.36%,-43.29%,-54.76%
2005/01/31,2004/12/31,0.83%,-0.07%,-0.99%,-0.32%,1.30%,-2.16%,-2.22%,-2.84%,-2.98%,-2.48%,3.87%,4.55%,2.95%,-1.59%,-2.69%,-2.95%,83,99,109,110,106,50,91,107,108,99,21.91%,61.84%,-41.10%,-24.57%,-2.13%,95.98%,101.7%,91.28%,-41.10%,-52.70%
2005/02/28,2005/01/31,-1.36%,-0.32%,-0.94%,0.32%,1.53%,0.24%,1.91%,1.16%,1.98%,3.42%,3.21%,3.79%,1.06%,2.75%,2.06%,1.61%,82,99,108,110,108,50,93,108,110,102,25.43%,66.99%,-39.21%,-21.71%,-0.11%,99.14%,100.8%,96.54%,-39.21%,-50.90%
2005/03/31,2005/02/28,-5.02%,0.17%,-0.13%,0.15%,1.14%,-6.55%,-1.17%,-1.13%,-1.44%,-1.60%,2.98%,2.82%,1.30%,-1.68%,-1.73%,-2.53%,78,99,108,110,109,46,92,107,108,101,33.16%,75.27%,-37.40%,-19.50%,-1.84%,94.11%,99.22%,93.23%,-37.40%,-49.52%
2005/04/30,2005/03/31,-1.62%,0.30%,-0.16%,0.56%,0.69%,-4.32%,-2.52%,-2.20%,-1.85%,-2.08%,3.63%,3.47%,2.52%,-4.20%,-2.23%,-5.24%,77,99,108,111,110,44,90,105,106,99,36.24%,79.19%,-35.12%,-16.70%,-4.03%,83.94%,93.23%,85.12%,-35.12%,-47.77%
2005/05/31,2005/04/30,2.34%,-0.12%,-0.39%,0.03%,-0.17%,6.26%,3.70%,3.09%,3.86%,4.19%,2.74%,2.78%,-0.39%,6.76%,3.88%,5.92%,79,99,108,111,110,47,93,108,110,103,32.82%,75.48%,-33.34%,-14.39%,-0.31%,94.83%,97.18%,97.64%,-33.34%,-46.31%
2005/06/30,2005/05/31,1.56%,0.95%,-0.03%,-0.48%,-0.34%,2.18%,1.98%,2.34%,0.19%,0.07%,-0.00%,-0.33%,-0.56%,3.17%,0.85%,3.27%,80,100,108,111,109,48,95,110,111,103,30.30%,71.78%,-33.35%,-14.67%,0.54%,101.2%,102.0%,103.9%,-33.35%,-46.49%
2005/07/31,2005/06/30,-0.48%,0.78%,1.57%,-0.29%,-0.52%,4.18%,4.72%,4.79%,3.63%,4.49%,-0.03%,-0.92%,-1.12%,6.09%,4.20%,6.36%,79,101,109,110,109,50,99,116,115,107,30.25%,72.31%,-33.37%,-15.45%,4.76%,114.0%,106.3%,116.3%,-33.37%,-46.98%
2005/08/31,2005/07/31,-0.47%,-2.15%,-0.57%,0.54%,1.10%,-1.83%,-2.91%,-1.17%,-0.29%,-0.74%,0.87%,1.20%,1.42%,-0.58%,-1.01%,-0.93%,79,99,109,111,110,49,96,114,114,107,32.29%,74.18%,-32.79%,-14.44%,3.70%,112.0%,106.5%,115.1%,-32.79%,-46.35%
2005/09/30,2005/08/31,-0.97%,1.78%,-0.78%,0.59%,0.27%,-0.71%,2.01%,0.00%,1.26%,0.30%,0.96%,1.11%,2.03%,1.55%,0.77%,1.22%,78,100,108,112,110,49,98,114,116,107,33.93%,75.95%,-32.14%,-13.50%,4.50%,114.6%,107.4%,118.4%,-32.14%,-45.76%
2005/10/31,2005/09/30,-1.29%,1.58%,0.60%,-0.58%,-0.52%,-3.79%,-0.08%,-0.98%,-2.10%,-2.54%,3.87%,3.36%,1.32%,-1.74%,-1.76%,-2.75%,77,102,108,111,110,47,98,113,113,104,34.97%,78.15%,-29.51%,-10.59%,2.66%,108.7%,105.4%,114.6%,-29.51%,-43.93%
