Date,fdate,chs_AR_1,chs_AR_2,chs_AR_3,chs_AR_4,chs_AR_5,chs_TR_1,chs_TR_2,chs_TR_3,chs_TR_4,chs_TR_5,chs_AR_Sig,chs_TR_Sig,chs_AR_130,chs_TR_130,chs_TR_BP,chs_TR_LO,chs_CAR_1,chs_CAR_2,chs_CAR_3,chs_CAR_4,chs_CAR_5,chs_CTR_1,chs_CTR_2,chs_CTR_3,chs_CTR_4,chs_CTR_5,chs_CAR_LS,chs_CTR_LS,chs_CAR_SW,chs_CTR_SW,chs_CTR_BP,chs_CTR_LO,chs_CXR_LO,chs_CTR_13,chs_CADD,chs_CTDD
2013/04/30,2013/03/31,1.47%,1.16%,1.17%,-0.21%,-0.40%,2.61%,2.44%,1.93%,0.90%,1.83%,1.55%,2.10%,0.40%,1.10%,1.68%,0.47%,50,83,112,115,113,48,125,172,173,207,97.20%,124.6%,139.7%,12.81%,65.33%,333.6%,169.6%,411.0%,0.00%,-48.08%
2013/05/31,2013/04/30,-1.43%,-0.74%,-2.05%,0.52%,0.02%,1.81%,1.84%,0.95%,3.56%,2.51%,-1.95%,-3.72%,-1.24%,2.74%,2.46%,3.85%,49,83,109,115,113,49,127,174,179,212,100.1%,126.1%,135.0%,8.61%,69.40%,350.3%,173.3%,425.0%,-1.95%,-50.02%
2013/06/30,2013/05/31,0.67%,-0.22%,1.15%,0.13%,-0.89%,0.20%,-1.55%,0.12%,-0.84%,-2.34%,1.68%,2.05%,0.74%,0.18%,-1.25%,-0.44%,50,82,111,115,112,49,125,174,178,207,96.94%,120.4%,138.9%,10.84%,67.28%,348.4%,175.5%,426.0%,-0.30%,-48.99%
2013/07/31,2013/06/30,1.05%,0.21%,0.02%,-0.39%,-0.57%,5.80%,5.27%,5.26%,5.75%,5.39%,-0.41%,-1.46%,-0.25%,6.86%,5.46%,7.30%,50,83,111,115,111,52,132,183,188,218,93.75%,119.5%,138.0%,9.21%,76.41%,381.1%,180.6%,462.1%,-0.71%,-49.74%
2013/08/31,2013/07/31,0.67%,-1.42%,-1.19%,0.01%,0.64%,-0.95%,-3.78%,-3.84%,-2.92%,-2.06%,0.54%,0.44%,1.51%,-1.73%,-2.84%,-1.86%,51,81,109,115,112,51,127,176,182,214,93.69%,117.0%,139.2%,9.70%,71.40%,372.2%,183.4%,452.3%,-0.18%,-49.51%
2013/09/30,2013/08/31,1.54%,0.28%,-0.28%,0.06%,-0.65%,5.56%,3.77%,3.57%,4.04%,3.37%,-0.44%,-0.74%,0.24%,5.67%,3.76%,5.89%,51,82,109,115,111,54,131,182,190,221,89.44%,112.3%,138.2%,8.89%,77.84%,400.0%,189.4%,483.6%,-0.62%,-49.89%
2013/10/31,2013/09/30,-0.43%,1.05%,0.23%,-0.15%,-0.09%,3.22%,4.66%,4.19%,3.89%,4.45%,2.47%,2.37%,-0.12%,3.66%,4.19%,2.95%,51,83,109,115,111,56,137,190,197,231,90.07%,114.9%,144.1%,11.47%,85.29%,414.7%,185.8%,505.0%,0.00%,-48.70%
2013/11/30,2013/10/31,-0.89%,-0.80%,-1.40%,0.38%,-0.20%,2.11%,2.14%,1.88%,3.65%,2.97%,-0.79%,-1.13%,-0.31%,3.75%,2.86%,4.09%,51,82,108,115,111,57,140,194,204,238,91.38%,116.7%,142.1%,10.21%,90.59%,435.8%,189.3%,527.7%,-0.79%,-49.28%
2013/12/31,2013/11/30,1.09%,-0.22%,0.11%,-0.27%,-0.52%,3.75%,2.19%,2.88%,2.48%,2.62%,-0.91%,-2.16%,-1.10%,1.19%,2.61%,1.84%,51,82,108,115,110,59,143,199,209,244,88.29%,114.3%,139.9%,7.83%,95.56%,445.6%,187.1%,535.1%,-1.69%,-50.37%
2014/01/31,2013/12/31,1.33%,0.24%,1.38%,0.18%,-0.15%,-0.74%,-3.19%,-2.60%,-3.25%,-3.57%,-7.87%,-9.17%,-0.97%,-4.53%,-3.13%,-1.78%,52,82,109,115,110,59,139,194,203,235,85.51%,108.2%,121.0%,-2.06%,89.43%,435.9%,191.0%,506.4%,-9.43%,-54.93%
2014/02/28,2014/01/31,1.39%,-0.97%,-0.26%,-0.37%,0.74%,5.95%,3.65%,4.15%,4.07%,5.64%,-1.69%,-1.55%,-0.48%,4.30%,4.67%,4.76%,53,81,109,115,111,62,144,202,211,249,84.30%,107.6%,117.3%,-3.58%,98.28%,461.4%,191.2%,532.4%,-10.96%,-55.62%
2014/03/31,2014/02/28,-1.13%,-1.70%,0.60%,0.28%,0.84%,-2.31%,0.71%,0.82%,0.67%,0.54%,2.14%,0.68%,1.51%,-0.01%,0.51%,-0.21%,52,80,110,115,112,61,145,204,212,250,87.93%,113.5%,122.0%,-2.92%,99.29%,460.2%,189.1%,532.4%,-9.05%,-55.32%
2014/04/30,2014/03/31,-1.46%,0.57%,0.51%,0.44%,0.35%,-2.50%,0.65%,-0.45%,-0.21%,0.45%,4.14%,3.97%,1.80%,-1.77%,-0.02%,-2.96%,51,80,110,116,112,59,146,203,212,251,91.33%,119.8%,131.1%,0.94%,99.24%,443.6%,180.7%,521.2%,-5.29%,-53.55%
2014/05/31,2014/04/30,0.94%,0.00%,-0.75%,-0.11%,0.59%,2.38%,1.87%,1.28%,1.61%,2.83%,2.49%,2.28%,1.25%,1.39%,2.10%,0.70%,52,80,110,116,113,61,149,205,215,258,90.65%,120.8%,136.9%,3.24%,103.4%,447.4%,176.7%,529.8%,-2.94%,-52.49%
2014/06/30,2014/05/31,1.34%,0.25%,0.68%,-0.90%,-0.35%,5.52%,2.66%,3.04%,2.28%,2.05%,-0.61%,-0.88%,-1.30%,3.98%,2.50%,4.25%,53,80,110,114,112,64,153,212,220,264,87.43%,113.1%,135.4%,2.33%,108.5%,470.7%,181.6%,554.9%,-3.53%,-52.90%
2014/07/31,2014/06/30,0.12%,-1.26%,0.17%,-0.09%,1.16%,-4.12%,-2.99%,-1.94%,-2.72%,-0.63%,1.14%,0.34%,1.73%,-4.33%,-1.95%,-4.43%,53,79,111,114,114,61,148,208,214,262,89.37%,120.5%,138.1%,2.68%,104.4%,445.4%,174.6%,526.5%,-2.43%,-52.75%
2014/08/31,2014/07/31,2.21%,-0.06%,0.20%,0.01%,-0.44%,6.33%,3.99%,4.14%,4.14%,4.04%,2.91%,1.60%,1.24%,5.29%,4.18%,4.81%,54,79,111,114,113,65,154,216,223,272,84.36%,115.5%,145.1%,4.32%,113.0%,471.7%,176.3%,559.7%,0.00%,-51.99%
2014/09/30,2014/08/31,-0.03%,-0.41%,-0.51%,0.84%,-0.39%,-2.88%,-2.86%,-2.43%,-1.79%,-1.77%,3.64%,3.31%,1.60%,-3.39%,-2.09%,-4.38%,54,79,110,115,113,63,150,211,219,268,83.68%,117.8%,154.0%,7.78%,108.5%,446.6%,170.0%,537.3%,0.00%,-50.40%
2014/10/31,2014/09/30,-0.81%,0.13%,0.50%,0.30%,0.17%,2.99%,2.61%,2.62%,2.90%,2.68%,6.88%,7.73%,0.38%,6.99%,2.74%,4.67%,53,79,111,116,113,65,153,216,225,275,85.48%,117.2%,171.5%,16.11%,114.2%,472.1%,175.2%,581.9%,0.00%,-46.57%
2014/11/30,2014/10/31,-0.73%,0.92%,1.05%,0.89%,-0.95%,1.61%,2.63%,2.16%,3.00%,2.41%,1.45%,2.45%,0.20%,1.73%,2.53%,0.99%,53,80,112,117,112,66,157,221,232,281,85.06%,118.9%,175.4%,18.95%,119.7%,477.8%,171.0%,593.7%,0.00%,-45.26%
2014/12/31,2014/11/30,-3.11%,0.22%,0.44%,0.23%,0.33%,-2.48%,0.74%,1.13%,0.17%,-0.47%,6.10%,3.68%,2.20%,3.17%,-0.03%,2.07%,51,80,112,117,112,65,159,224,233,280,91.44%,123.3%,192.2%,23.32%,119.6%,489.8%,176.6%,615.7%,0.00%,-43.24%
2015/01/31,2014/12/31,-0.36%,0.69%,0.79%,0.10%,0.16%,-4.91%,-3.33%,-2.20%,-2.76%,-2.48%,0.13%,1.62%,1.13%,-1.54%,-2.75%,-2.03%,51,81,113,117,112,62,153,219,226,273,92.42%,128.7%,192.6%,25.32%,113.6%,477.8%,178.6%,604.6%,0.00%,-42.32%
2015/02/28,2015/01/31,0.27%,1.28%,-1.52%,-0.17%,-0.39%,7.41%,7.08%,3.87%,5.27%,6.17%,-5.04%,-4.42%,-2.27%,4.45%,5.76%,5.78%,51,82,112,117,112,66,164,227,238,290,91.16%,125.9%,177.9%,19.78%,125.9%,511.2%,178.7%,636.0%,-5.04%,-44.88%
2015/03/31,2015/02/28,-0.71%,0.50%,-0.53%,-0.31%,0.18%,-0.95%,-0.58%,-1.09%,-1.07%,-1.20%,5.55%,5.97%,1.81%,3.16%,-1.06%,1.37%,51,82,111,117,112,65,163,225,236,287,92.85%,125.3%,193.3%,26.92%,123.5%,519.6%,185.5%,659.2%,0.00%,-41.59%
2015/04/30,2015/03/31,2.83%,0.02%,0.79%,-1.08%,0.40%,1.19%,0.91%,0.65%,-0.97%,1.09%,-2.73%,-6.14%,-0.68%,-3.02%,0.40%,-1.18%,52,82,112,115,113,66,165,226,233,290,88.16%,125.1%,185.3%,19.13%,124.4%,512.3%,181.0%,636.3%,-2.73%,-45.17%
2015/05/31,2015/04/30,-1.19%,0.26%,-0.21%,-0.88%,0.45%,0.41%,0.89%,1.45%,1.32%,1.51%,0.89%,3.45%,-0.23%,2.77%,1.29%,1.73%,52,82,112,114,113,66,166,229,236,294,91.25%,127.6%,187.8%,23.23%,127.3%,522.9%,182.2%,656.7%,-1.86%,-43.28%
2015/06/30,2015/05/31,-0.23%,0.15%,-0.80%,-0.46%,-0.03%,-1.21%,-1.44%,-0.98%,-1.68%,-1.96%,2.98%,3.39%,0.50%,0.92%,-1.63%,-0.10%,52,82,111,114,113,66,164,227,232,288,91.64%,125.9%,196.4%,27.41%,123.6%,522.3%,186.5%,663.7%,0.00%,-41.36%
2015/07/31,2015/06/30,-0.92%,4.11%,1.89%,-0.53%,-1.25%,0.24%,4.00%,1.73%,1.51%,1.14%,3.82%,8.51%,0.55%,0.76%,1.67%,-1.79%,51,86,113,113,112,66,170,231,236,292,91.02%,127.9%,207.7%,38.25%,127.3%,511.1%,176.6%,669.5%,0.00%,-36.37%
2015/08/31,2015/07/31,1.02%,0.81%,-0.71%,-0.11%,0.25%,-5.92%,-5.64%,-5.61%,-5.99%,-6.33%,1.05%,-2.85%,0.78%,-5.82%,-5.98%,-4.96%,52,86,112,113,112,62,161,218,222,273,89.55%,127.0%,211.0%,34.31%,113.7%,480.8%,179.4%,624.7%,0.00%,-38.19%
2015/09/30,2015/08/31,-0.94%,-0.68%,0.13%,0.40%,0.29%,-5.26%,-3.36%,-1.90%,-2.76%,-2.71%,2.29%,4.94%,0.51%,-3.20%,-2.82%,-4.69%,51,86,112,113,112,59,155,214,216,266,91.87%,132.8%,218.1%,40.95%,107.7%,453.6%,174.2%,601.5%,0.00%,-35.13%
2015/10/31,2015/09/30,-1.77%,1.03%,-0.92%,-0.43%,1.39%,6.17%,8.73%,5.06%,7.45%,9.09%,4.39%,2.02%,1.47%,6.82%,7.68%,6.22%,50,87,111,113,114,62,169,225,232,290,97.92%,139.6%,232.0%,43.79%,123.6%,488.0%,170.2%,649.4%,0.00%,-33.82%
2015/11/30,2015/10/31,-0.99%,2.06%,-0.39%,0.06%,-0.61%,0.12%,2.31%,0.50%,0.29%,0.04%,2.85%,-1.29%,-0.23%,1.95%,0.55%,2.33%,50,88,111,113,113,62,173,226,232,290,98.68%,139.4%,241.5%,41.93%,124.8%,501.7%,175.0%,663.9%,0.00%,-34.68%
2015/12/31,2015/11/30,-0.50%,-1.19%,0.89%,-0.26%,-0.26%,-2.06%,-4.09%,-1.26%,-1.70%,-2.17%,4.74%,5.18%,2.12%,-2.16%,-2.07%,-3.71%,49,87,112,113,113,61,166,223,228,284,99.16%,139.1%,257.7%,49.28%,120.2%,479.4%,170.5%,647.4%,0.00%,-31.30%
2016/01/31,2015/12/31,-2.43%,-1.79%,-2.45%,0.85%,1.34%,-9.28%,-6.64%,-8.50%,-4.69%,-4.13%,3.31%,3.43%,0.87%,-6.88%,-5.64%,-7.91%,48,86,109,114,114,55,155,204,218,272,106.7%,151.4%,269.5%,54.41%,107.8%,433.5%,164.4%,596.0%,0.00%,-28.94%
2016/02/29,2016/01/31,1.15%,-1.12%,-0.23%,1.32%,-0.55%,1.44%,-1.45%,-0.73%,1.10%,-0.68%,2.66%,1.19%,0.39%,0.50%,-0.05%,0.14%,49,85,109,115,114,56,152,203,220,270,103.2%,146.1%,279.4%,56.25%,107.6%,434.3%,164.9%,599.5%,0.00%,-28.09%
2016/03/31,2016/02/29,0.07%,0.27%,1.13%,0.83%,0.21%,7.81%,7.49%,7.38%,6.87%,6.88%,-1.96%,-5.08%,-0.66%,5.93%,7.08%,7.45%,49,85,110,116,114,61,164,218,235,289,103.4%,143.8%,271.9%,48.31%,122.4%,474.1%,165.9%,640.9%,-1.96%,-31.75%
2016/04/30,2016/03/31,4.70%,1.87%,0.65%,-1.83%,0.33%,4.90%,2.46%,1.17%,-1.47%,1.39%,-2.96%,-6.04%,-0.59%,0.35%,0.81%,2.16%,51,87,111,114,114,64,168,220,232,293,94.55%,135.3%,260.9%,39.35%,124.2%,486.5%,169.5%,643.5%,-4.86%,-35.87%
2016/05/31,2016/04/30,0.19%,-0.37%,-0.37%,-0.46%,0.51%,2.40%,1.77%,1.41%,1.31%,2.29%,2.78%,1.22%,0.28%,0.99%,1.79%,0.63%,51,86,110,114,115,65,171,223,235,299,95.17%,135.0%,270.9%,41.05%,128.2%,490.2%,166.3%,650.9%,-2.22%,-35.09%
2016/06/30,2016/05/31,0.89%,-1.95%,0.54%,0.01%,0.89%,0.57%,-1.20%,0.81%,0.29%,0.58%,-1.32%,-2.78%,-0.22%,-0.53%,0.26%,0.31%,52,85,111,114,116,65,169,225,235,301,95.17%,135.0%,266.1%,37.12%,128.8%,492.0%,166.4%,646.9%,-3.51%,-36.89%
2016/07/31,2016/06/30,-0.17%,1.43%,-0.47%,-0.16%,0.40%,4.91%,5.14%,2.78%,3.61%,4.18%,-0.46%,-3.48%,-0.96%,4.02%,3.96%,5.06%,52,86,110,113,116,69,178,231,244,314,96.28%,133.3%,264.4%,32.36%,137.9%,521.9%,169.3%,676.9%,-3.95%,-39.09%
2016/08/31,2016/07/31,1.44%,1.26%,-0.06%,0.22%,-0.87%,2.43%,1.26%,0.45%,0.03%,-0.39%,-0.21%,-2.46%,-0.75%,0.34%,0.32%,1.08%,52,87,110,114,115,70,180,232,244,312,91.74%,126.7%,263.6%,29.10%,138.6%,528.6%,171.4%,679.5%,-4.15%,-40.58%
2016/09/30,2016/08/31,-0.29%,0.17%,-1.78%,0.10%,0.53%,0.14%,0.58%,-1.69%,0.45%,0.85%,1.63%,0.15%,0.77%,2.66%,0.19%,2.61%,52,87,108,114,116,70,181,228,245,315,93.31%,128.3%,269.5%,29.30%,139.1%,545.1%,178.0%,700.3%,-2.59%,-40.49%
2016/10/31,2016/09/30,1.23%,0.37%,0.53%,0.32%,-1.00%,-1.45%,-1.63%,-1.44%,-1.91%,-3.04%,5.58%,6.33%,2.40%,-3.20%,-2.12%,-5.10%,53,87,109,114,115,69,178,225,240,306,89.01%,124.7%,290.2%,37.49%,134.0%,512.2%,169.7%,674.6%,0.00%,-36.72%
2016/11/30,2016/10/31,1.55%,-0.03%,1.25%,2.35%,-1.49%,5.46%,4.97%,7.13%,5.80%,2.04%,2.97%,1.81%,-0.37%,8.54%,4.59%,8.00%,54,87,110,117,113,73,187,241,254,312,83.26%,117.0%,301.8%,39.97%,144.7%,561.1%,178.9%,740.8%,0.00%,-35.58%
2016/12/31,2016/11/30,0.08%,0.02%,1.02%,-0.07%,-0.11%,0.80%,2.73%,3.03%,2.01%,1.21%,1.59%,1.80%,0.17%,1.63%,1.94%,1.09%,54,87,111,117,113,74,192,249,259,316,82.89%,117.9%,308.1%,42.50%,149.5%,568.3%,176.5%,754.5%,0.00%,-34.42%
2017/01/31,2016/12/31,1.82%,-0.02%,0.04%,0.18%,-0.86%,5.18%,1.79%,1.35%,1.59%,1.68%,-1.23%,-4.43%,0.07%,-0.06%,1.89%,1.27%,55,87,111,117,112,78,195,252,264,321,78.00%,110.3%,303.1%,36.18%,154.2%,576.8%,174.8%,754.0%,-1.23%,-37.33%
2017/02/28,2017/01/31,-0.86%,-0.33%,0.11%,0.26%,-0.00%,3.97%,3.39%,3.05%,3.20%,4.28%,2.56%,0.62%,1.19%,2.19%,3.64%,2.00%,54,87,111,117,112,81,202,260,272,335,79.53%,110.9%,313.4%,37.02%,163.5%,590.3%,170.3%,772.7%,0.00%,-36.94%
2017/03/31,2017/02/28,-1.40%,-0.35%,-0.31%,-0.15%,0.36%,-0.56%,-0.73%,-0.14%,-0.33%,0.95%,4.78%,2.22%,1.65%,1.97%,0.13%,1.30%,53,87,111,117,112,80,200,259,271,338,82.70%,114.1%,333.2%,40.07%,163.8%,599.3%,173.4%,789.8%,0.00%,-35.54%
2017/04/30,2017/03/31,-0.31%,0.17%,-0.33%,-0.58%,0.37%,1.12%,1.48%,0.57%,0.35%,1.73%,6.56%,6.34%,1.44%,3.49%,1.11%,1.58%,53,87,111,116,113,81,203,261,272,344,83.95%,115.4%,361.6%,48.94%,166.7%,610.4%,174.7%,820.9%,0.00%,-31.45%
2017/05/31,2017/04/30,0.12%,-0.09%,-0.26%,0.05%,-0.44%,1.00%,0.25%,1.08%,0.74%,1.50%,5.74%,5.13%,1.80%,0.97%,1.06%,-0.57%,53,87,110,116,112,82,204,264,274,349,82.91%,116.5%,388.1%,56.59%,169.6%,606.3%,170.3%,829.8%,0.00%,-27.93%
2017/06/30,2017/05/31,0.52%,0.17%,0.06%,0.42%,-0.03%,1.55%,1.16%,1.13%,1.54%,0.23%,-0.18%,-3.12%,0.77%,2.24%,0.90%,3.17%,54,87,111,117,112,83,206,267,278,350,81.89%,113.6%,387.3%,51.71%,172.0%,628.7%,176.4%,850.6%,-0.18%,-30.18%
2017/07/31,2017/06/30,1.92%,-0.86%,-1.48%,0.09%,0.44%,3.99%,1.19%,0.75%,1.88%,2.46%,3.27%,4.27%,1.34%,2.24%,1.93%,0.96%,55,86,109,117,113,87,209,269,284,358,79.19%,110.3%,403.2%,58.19%,177.2%,635.7%,173.7%,871.9%,0.00%,-27.20%
2017/08/31,2017/07/31,-0.43%,-2.26%,-0.95%,0.13%,0.88%,-0.18%,-2.45%,-0.36%,0.04%,1.63%,3.80%,5.25%,2.10%,1.68%,0.26%,0.10%,54,84,108,117,114,86,204,268,284,364,81.54%,114.2%,422.3%,66.50%,177.9%,636.5%,173.3%,888.2%,0.00%,-23.37%
2017/09/30,2017/08/31,1.55%,-0.19%,-0.75%,-0.93%,0.72%,4.17%,2.41%,3.12%,2.55%,1.92%,-3.68%,-6.64%,-1.41%,3.28%,2.47%,5.27%,55,84,107,116,115,90,209,276,291,371,80.03%,109.4%,403.1%,55.44%,184.8%,675.3%,180.9%,920.5%,-3.68%,-28.46%
2017/10/31,2017/09/30,-1.97%,-0.46%,-1.37%,-0.42%,0.81%,0.40%,2.34%,1.41%,1.71%,3.16%,2.35%,3.94%,1.35%,2.11%,2.24%,0.93%,54,84,106,116,115,90,213,280,296,383,85.04%,115.1%,414.9%,61.56%,191.2%,682.5%,177.3%,942.1%,-1.42%,-25.65%
2017/11/30,2017/10/31,0.26%,-0.67%,0.05%,0.77%,-0.60%,3.57%,2.76%,3.13%,4.22%,2.54%,-0.30%,-1.50%,0.32%,2.37%,3.22%,2.82%,54,83,106,116,115,94,219,289,308,392,83.44%,112.9%,413.3%,59.13%,200.6%,704.5%,176.1%,966.7%,-1.72%,-26.76%
2017/12/31,2017/11/30,1.10%,-0.76%,0.06%,0.57%,-0.62%,2.25%,0.70%,1.00%,1.65%,0.63%,-0.18%,-2.05%,0.83%,0.49%,1.10%,1.10%,55,83,106,117,114,96,221,291,313,395,80.28%,109.5%,412.4%,55.87%,203.8%,713.4%,176.2%,972.0%,-1.89%,-28.26%
2018/01/31,2017/12/31,1.36%,0.31%,-1.62%,-0.11%,-1.05%,6.48%,6.85%,4.05%,5.21%,5.16%,-0.01%,1.33%,0.75%,4.26%,5.34%,3.86%,56,83,104,117,113,102,236,303,330,415,75.94%,106.7%,412.4%,57.94%,220.1%,744.8%,172.1%,1018%,-1.90%,-27.31%
2018/02/28,2018/01/31,0.01%,1.22%,-1.52%,-0.31%,0.14%,-3.56%,-2.53%,-4.77%,-4.16%,-3.33%,2.14%,3.89%,0.73%,-2.14%,-3.65%,-3.31%,56,84,102,117,113,98,230,289,316,402,76.16%,107.2%,423.4%,64.08%,208.4%,716.9%,173.0%,993.6%,0.00%,-24.49%
2018/03/31,2018/02/28,1.03%,1.11%,-0.64%,0.62%,0.14%,-1.52%,-2.26%,-2.16%,-1.86%,-1.99%,4.05%,2.56%,1.53%,2.11%,-1.98%,1.34%,56,85,102,117,113,97,225,283,310,394,74.59%,106.2%,444.6%,68.29%,202.3%,727.8%,182.1%,1017%,0.00%,-22.55%
2018/04/30,2018/03/31,1.49%,-0.81%,0.57%,-0.53%,0.20%,1.89%,-0.32%,1.06%,-0.17%,0.63%,0.02%,0.32%,-1.24%,0.08%,0.43%,-0.02%,57,84,102,117,113,99,224,286,310,396,72.34%,103.6%,444.7%,68.83%,203.6%,727.6%,180.8%,1018%,0.00%,-22.30%
2018/05/31,2018/04/30,-0.48%,-0.63%,-0.38%,-0.49%,0.53%,3.24%,2.77%,2.38%,1.94%,3.84%,0.89%,1.69%,-1.57%,6.22%,2.78%,5.71%,57,84,102,116,114,102,230,292,316,411,74.08%,104.9%,449.5%,71.68%,212.0%,774.9%,189.0%,1087%,0.00%,-20.99%
2018/06/30,2018/05/31,0.52%,0.40%,0.74%,0.11%,-0.59%,1.48%,0.52%,1.24%,0.48%,0.80%,4.47%,0.07%,0.94%,1.45%,0.75%,1.43%,57,84,103,116,113,103,231,296,317,415,72.14%,103.5%,474.1%,71.80%,214.4%,787.4%,191.0%,1104%,0.00%,-20.93%
2018/07/31,2018/06/30,-2.00%,-0.23%,-0.41%,0.79%,-0.17%,1.58%,3.67%,2.75%,4.23%,2.99%,5.47%,5.29%,1.50%,3.35%,3.27%,1.77%,56,84,102,117,113,105,240,304,331,427,75.30%,106.3%,505.5%,80.90%,224.7%,803.1%,186.6%,1145%,0.00%,-16.75%
2018/08/31,2018/07/31,-1.35%,0.27%,-0.37%,-0.28%,-0.02%,2.60%,4.35%,2.13%,2.81%,4.54%,1.19%,3.49%,-0.01%,5.45%,3.55%,4.40%,55,84,102,117,113,108,250,311,340,446,77.65%,110.3%,512.7%,87.21%,236.2%,842.9%,189.0%,1213%,0.00%,-13.84%
2018/09/30,2018/08/31,0.34%,-1.28%,-1.14%,-0.54%,1.28%,0.57%,-0.70%,-1.93%,-0.37%,1.77%,1.93%,0.22%,0.81%,-1.25%,0.10%,-1.31%,55,83,101,116,115,108,249,305,339,454,79.32%,112.9%,524.6%,87.62%,236.6%,830.5%,184.9%,1196%,0.00%,-13.65%
2018/10/31,2018/09/30,-1.19%,-0.68%,-0.91%,1.82%,1.76%,-9.54%,-8.96%,-9.06%,-5.35%,-6.88%,3.78%,1.79%,2.87%,-9.24%,-7.27%,-9.77%,55,82,100,118,117,98,226,277,321,423,84.61%,118.5%,548.2%,90.98%,212.1%,739.6%,177.8%,1076%,0.00%,-12.11%
2018/11/30,2018/10/31,-1.77%,-0.03%,1.69%,0.86%,-0.54%,0.45%,1.93%,3.44%,2.74%,1.26%,7.17%,6.82%,2.03%,3.41%,1.99%,1.37%,54,82,102,119,116,98,231,286,329,428,86.88%,120.3%,594.7%,104.0%,218.3%,751.0%,176.1%,1117%,0.00%,-6.12%
2018/12/31,2018/11/30,2.91%,-0.43%,-0.67%,-0.39%,-0.36%,-8.60%,-9.58%,-10.39%,-10.16%,-8.13%,8.61%,8.87%,2.71%,-8.14%,-9.28%,-10.80%,55,82,101,119,116,90,209,257,296,393,80.76%,121.4%,654.5%,122.1%,188.8%,659.1%,171.9%,1018%,0.00%,0.00%
2019/01/31,2018/12/31,1.78%,1.29%,1.69%,0.58%,-2.94%,11.64%,9.42%,9.75%,8.99%,6.37%,-7.62%,-13.36%,-3.59%,6.22%,8.72%,10.23%,56,83,103,120,112,100,228,282,322,419,72.23%,109.7%,597.0%,92.41%,214.0%,736.8%,176.0%,1087%,-7.62%,-13.36%
2019/02/28,2019/01/31,1.86%,-3.75%,-0.14%,0.26%,0.19%,5.62%,0.91%,3.66%,3.59%,3.72%,0.09%,0.08%,-0.46%,5.16%,3.43%,5.13%,57,80,102,120,112,106,230,292,334,434,69.35%,105.7%,597.6%,92.56%,224.7%,779.7%,180.7%,1148%,-7.54%,-13.29%
2019/03/31,2019/02/28,-1.66%,-1.01%,-0.03%,0.26%,-0.00%,0.30%,0.76%,1.28%,1.98%,1.35%,2.14%,0.90%,1.69%,0.56%,1.41%,0.29%,56,79,102,120,112,106,232,296,341,440,72.15%,107.9%,612.6%,94.30%,229.3%,782.3%,177.5%,1155%,-5.56%,-12.51%
2019/04/30,2019/03/31,-0.10%,0.72%,-0.13%,0.58%,-1.04%,4.04%,4.90%,4.28%,4.78%,2.81%,3.77%,1.85%,-0.34%,2.60%,4.02%,2.04%,56,80,102,121,111,111,243,308,357,452,70.54%,105.3%,639.4%,97.90%,242.5%,800.3%,172.1%,1188%,-2.00%,-10.89%
2019/05/31,2019/04/30,0.30%,0.88%,1.70%,-0.01%,-0.12%,-6.91%,-6.35%,-5.53%,-6.88%,-6.27%,-0.56%,3.39%,1.20%,-6.48%,-6.47%,-7.50%,57,80,104,121,111,103,228,291,332,424,69.84%,106.7%,635.3%,104.6%,220.4%,732.8%,169.3%,1104%,-2.55%,-7.87%
2019/06/30,2019/05/31,-0.71%,-1.51%,-1.06%,0.57%,0.03%,6.95%,4.74%,6.04%,7.81%,7.13%,6.44%,3.83%,-0.00%,7.33%,6.83%,6.19%,56,79,103,122,111,110,239,309,358,454,71.09%,107.0%,682.6%,112.4%,242.2%,784.3%,167.5%,1193%,0.00%,-4.34%
2019/07/31,2019/06/30,-1.72%,2.41%,0.27%,0.85%,-0.83%,-0.01%,2.95%,1.15%,2.40%,0.57%,2.35%,4.27%,0.48%,0.85%,1.45%,-0.43%,55,81,103,123,110,110,246,313,367,457,72.60%,108.3%,701.0%,121.5%,247.2%,780.5%,162.5%,1204%,0.00%,-0.26%
2019/08/31,2019/07/31,0.19%,-1.03%,2.03%,-0.92%,0.13%,-0.82%,-4.15%,-1.70%,-2.79%,-1.23%,-1.53%,2.27%,-0.87%,-3.54%,-2.11%,-4.23%,55,80,105,121,110,109,236,307,357,451,72.49%,107.4%,688.8%,126.5%,239.9%,743.2%,156.9%,1158%,-1.53%,0.00%
2019/09/30,2019/08/31,0.68%,0.83%,0.99%,1.16%,0.01%,-0.53%,2.91%,3.64%,2.16%,0.37%,1.65%,-1.26%,1.33%,0.56%,1.76%,0.94%,56,81,106,123,110,109,243,318,364,453,71.33%,109.3%,701.8%,123.7%,245.8%,751.2%,154.8%,1165%,0.00%,-1.26%
2019/10/31,2019/09/30,-0.54%,0.43%,-0.33%,0.47%,-0.61%,2.31%,2.35%,1.36%,2.92%,1.79%,5.64%,5.01%,0.65%,3.73%,2.20%,2.23%,55,81,106,123,110,111,248,323,375,461,71.21%,108.2%,747.0%,134.9%,253.4%,770.2%,154.9%,1212%,0.00%,0.00%
2019/11/30,2019/10/31,0.39%,1.08%,-0.76%,-0.86%,0.08%,5.81%,4.96%,2.78%,3.39%,3.91%,6.31%,2.75%,1.20%,4.66%,3.75%,3.83%,56,82,105,122,110,118,261,332,388,479,70.69%,104.2%,800.4%,141.3%,266.7%,803.5%,155.1%,1273%,0.00%,0.00%
